#Data collected from:
# - Smith & Loewenstein 1975 (28.6-182um)
# - Sahin et al. 2019 (160-3000um)

Wavenumber_sigma_cm-1,Refractive_index_n,Absorption_alpha_cm-1
8.474576271186441,1.85044,0.5063448647590072
8.547008547008547,1.85009,0.5158495137194441
8.620689655172415,1.84973,0.5255191192456311
8.695652173913045,1.84937,0.535355799096568
8.771929824561404,1.84901,0.5453650522782231
8.849557522123895,1.84865,0.5555514603834474
8.928571428571429,1.84829,0.5659197686334076
9.00900900900901,1.84851,0.5764748932482322
9.090909090909092,1.84873,0.5872230716170185
9.174311926605506,1.84895,0.5981673113897628
9.25925925925926,1.84918,0.6111084207404599
9.345794392523366,1.8494,0.6261552358888326
9.433962264150944,1.84962,0.6414871387164778
9.523809523809524,1.84984,0.6571110777884589
9.615384615384617,1.85006,0.6730342689223423
9.708737864077673,1.85023,0.6892678682695645
9.803921568627452,1.85036,0.7058185414892212
9.9009900990099,1.85048,0.7226981950073477
10.0,1.85061,0.7399141849587753
10.101010101010102,1.85073,0.7574792420173646
10.204081632653065,1.85086,0.7754027696281698
10.309278350515465,1.85098,0.7936945590071758
10.416666666666668,1.8511,0.8123687363285169
10.526315789473683,1.85123,0.8314347314491897
10.638297872340427,1.85076,0.8509077228884528
10.752688172043012,1.85016,0.8707994883371627
10.869565217391305,1.84955,0.8911223175596906
10.989010989010987,1.84895,0.9118931832893744
11.11111111111111,1.84835,0.93312422754965
11.235955056179776,1.84774,0.9572750504632844
11.363636363636363,1.8472,0.9824645585704932
11.49425287356322,1.84781,1.0082345802400072
11.627906976744187,1.84841,1.034602443533159
11.764705882352942,1.84901,1.0615907271390914
11.904761904761909,1.84961,1.089223084922619
12.048192771084338,1.85022,1.1175197686321816
12.195121951219514,1.85017,1.1465066153590506
12.34567901234568,1.84942,1.1762091866964597
12.500000000000002,1.84866,1.2066558931136304
12.658227848101268,1.84791,1.2378718115450824
12.82051282051282,1.84715,1.2698881381414435
12.987012987012989,1.8465,1.302737689632595
13.157894736842106,1.8473,1.3371461603285175
13.333333333333334,1.84809,1.374951954044232
13.513513513513514,1.84889,1.41378122412667
13.698630136986305,1.84968,1.4536725884071728
13.88888888888889,1.84986,1.494673791469164
14.084507042253522,1.84953,1.536828188086336
