"Angle of incidence, deg.","P-polarized","S-polarized","Non-polarized"
7.899999999999988,0.08682943538560577,0.09049939882359818,0.08866441710460198
7.999999999999988,0.08678279830357759,0.09054683007927952,0.08866481419142855
8.099999999999987,0.08673557050116527,0.090594882779818,0.08866522664049165
8.199999999999987,0.08668775183224006,0.09064355786834205,0.08866565485029106
8.299999999999986,0.08663934214931877,0.09069285630045722,0.088666099224888
8.399999999999986,0.0865903413035819,0.09074277904427536,0.08866656017392863
8.499999999999986,0.08654074914489164,0.09079332708044296,0.0886670381126673
8.599999999999985,0.08649056552181071,0.09084450140217099,0.08866753346199086
8.699999999999985,0.0864397902816209,0.0908963030152643,0.0886680466484426
8.799999999999985,0.08638842327034199,0.09094873293815216,0.08866857810424708
8.899999999999984,0.08633646433275133,0.09100179220191852,0.08866912826733492
8.999999999999984,0.08628391331240352,0.09105548185033281,0.08866969758136817
