Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)
15	300.000	-0.009	300.003	0.408	0.539	1.991	1771524964.404	1771524964.404	1771524964.404	1771524964.404	1771524964.404	1771524964.404
16	300.000	0.021	300.005	0.401	0.681	1.991	1771524964.602	1771524964.602	1771524964.602	1771524964.602	1771524964.602	1771524964.602
17	300.000	-0.004	299.999	0.540	0.823	1.991	1771524964.882	1771524964.882	1771524964.882	1771524964.882	1771524964.882	1771524964.882
18	300.000	-0.032	300.001	0.447	0.782	1.991	1771524965.131	1771524965.131	1771524965.131	1771524965.131	1771524965.131	1771524965.131
19	300.000	0.007	299.999	0.457	0.655	1.991	1771524965.376	1771524965.376	1771524965.376	1771524965.376	1771524965.376	1771524965.376
20	300.000	0.007	300.003	0.492	0.871	1.991	1771524965.626	1771524965.626	1771524965.626	1771524965.626	1771524965.626	1771524965.626
21	300.000	0.011	300.001	0.428	0.738	1.991	1771524965.867	1771524965.867	1771524965.867	1771524965.867	1771524965.867	1771524965.867
22	300.000	0.021	299.998	0.460	0.724	1.991	1771524966.064	1771524966.064	1771524966.064	1771524966.064	1771524966.064	1771524966.064
23	300.000	0.027	299.998	0.480	0.543	1.991	1771524966.278	1771524966.278	1771524966.278	1771524966.278	1771524966.278	1771524966.278
24	300.000	0.013	299.998	0.519	0.855	1.991	1771524966.496	1771524966.496	1771524966.496	1771524966.496	1771524966.496	1771524966.496
25	300.000	0.011	300.001	0.440	0.620	1.991	1771524966.779	1771524966.779	1771524966.779	1771524966.779	1771524966.779	1771524966.779
26	300.000	0.010	300.002	0.441	0.734	1.991	1771524967.004	1771524967.004	1771524967.004	1771524967.004	1771524967.004	1771524967.004
27	300.000	-0.023	300.003	0.537	0.739	1.991	1771524967.217	1771524967.217	1771524967.217	1771524967.217	1771524967.217	1771524967.217
28	300.000	0.006	299.998	0.463	0.813	1.991	1771524967.435	1771524967.435	1771524967.435	1771524967.435	1771524967.435	1771524967.435
29	300.000	0.020	299.999	0.482	0.644	1.991	1771524967.686	1771524967.686	1771524967.686	1771524967.686	1771524967.686	1771524967.686
30	300.000	0.010	300.001	0.407	0.883	1.991	1771524967.909	1771524967.909	1771524967.909	1771524967.909	1771524967.909	1771524967.909
31	300.000	0.092	300.001	0.441	0.764	1.991	1771524968.097	1771524968.097	1771524968.097	1771524968.097	1771524968.097	1771524968.097
32	300.000	0.030	299.999	0.488	0.852	1.991	1771524968.299	1771524968.299	1771524968.299	1771524968.299	1771524968.299	1771524968.299
33	300.000	0.011	299.999	0.377	0.686	1.991	1771524968.551	1771524968.551	1771524968.551	1771524968.551	1771524968.551	1771524968.551
34	300.000	-0.065	299.998	0.470	0.853	1.991	1771524968.812	1771524968.812	1771524968.812	1771524968.812	1771524968.812	1771524968.812
35	300.000	0.051	300.000	0.405	0.759	1.991	1771524969.065	1771524969.065	1771524969.065	1771524969.065	1771524969.065	1771524969.065
36	300.000	-0.040	300.001	0.524	0.829	1.991	1771524969.295	1771524969.295	1771524969.295	1771524969.295	1771524969.295	1771524969.295
37	300.000	0.046	300.000	0.259	0.567	1.991	1771524969.497	1771524969.497	1771524969.497	1771524969.497	1771524969.497	1771524969.497
38	300.000	0.002	300.000	0.537	0.746	1.991	1771524969.754	1771524969.754	1771524969.754	1771524969.754	1771524969.754	1771524969.754
39	300.000	0.020	300.000	0.463	0.612	1.991	1771524970.031	1771524970.031	1771524970.031	1771524970.031	1771524970.031	1771524970.031
40	300.000	0.062	300.000	0.564	0.776	1.991	1771524970.212	1771524970.212	1771524970.212	1771524970.212	1771524970.212	1771524970.212
41	300.000	-0.006	299.999	0.645	0.696	1.991	1771524970.432	1771524970.432	1771524970.432	1771524970.432	1771524970.432	1771524970.432
42	300.000	0.003	300.000	0.484	0.728	1.991	1771524970.692	1771524970.692	1771524970.692	1771524970.692	1771524970.692	1771524970.692
43	300.000	0.080	300.000	0.465	0.660	1.991	1771524970.901	1771524970.901	1771524970.901	1771524970.901	1771524970.901	1771524970.901
44	300.000	0.021	300.000	0.409	0.763	1.991	1771524971.132	1771524971.132	1771524971.132	1771524971.132	1771524971.132	1771524971.132
45	300.000	-0.004	299.998	0.440	0.597	1.991	1771524971.365	1771524971.365	1771524971.365	1771524971.365	1771524971.365	1771524971.365
46	300.000	-0.057	300.001	0.553	0.853	1.991	1771524971.561	1771524971.561	1771524971.561	1771524971.561	1771524971.561	1771524971.561
47	300.000	0.048	299.998	0.538	0.616	1.991	1771524971.765	1771524971.765	1771524971.765	1771524971.765	1771524971.765	1771524971.765
48	300.000	0.005	300.000	0.535	0.876	1.991	1771524972.016	1771524972.016	1771524972.016	1771524972.016	1771524972.016	1771524972.016
49	300.000	0.024	300.001	0.552	0.609	1.991	1771524972.184	1771524972.184	1771524972.184	1771524972.184	1771524972.184	1771524972.184
50	300.000	-0.048	300.001	0.408	1.023	1.991	1771524972.384	1771524972.384	1771524972.384	1771524972.384	1771524972.384	1771524972.384
51	300.000	0.033	300.000	0.436	0.759	1.991	1771524972.643	1771524972.643	1771524972.643	1771524972.643	1771524972.643	1771524972.643
52	300.000	-0.043	299.999	0.474	0.749	1.991	1771524972.894	1771524972.894	1771524972.894	1771524972.894	1771524972.894	1771524972.894
53	300.000	0.050	299.998	0.396	0.764	1.991	1771524973.129	1771524973.129	1771524973.129	1771524973.129	1771524973.129	1771524973.129
54	300.000	-0.059	299.998	0.468	0.712	1.991	1771524973.337	1771524973.337	1771524973.337	1771524973.337	1771524973.337	1771524973.337
55	300.000	0.025	299.999	0.458	0.752	1.991	1771524973.566	1771524973.566	1771524973.566	1771524973.566	1771524973.566	1771524973.566
56	300.000	0.003	300.000	0.452	0.771	1.991	1771524973.822	1771524973.822	1771524973.822	1771524973.822	1771524973.822	1771524973.822
57	300.000	-0.015	299.997	0.427	0.575	1.991	1771524974.025	1771524974.025	1771524974.025	1771524974.025	1771524974.025	1771524974.025
58	300.000	0.033	299.998	0.583	0.728	1.991	1771524974.246	1771524974.246	1771524974.246	1771524974.246	1771524974.246	1771524974.246
59	300.000	0.069	300.003	0.578	0.736	1.991	1771524974.516	1771524974.516	1771524974.516	1771524974.516	1771524974.516	1771524974.516
60	300.000	-0.043	299.999	0.525	0.753	1.991	1771524974.734	1771524974.734	1771524974.734	1771524974.734	1771524974.734	1771524974.734
61	300.000	0.042	300.001	0.667	0.731	1.991	1771524974.936	1771524974.936	1771524974.936	1771524974.936	1771524974.936	1771524974.936
62	300.000	0.000	299.999	0.438	0.887	1.991	1771524975.214	1771524975.214	1771524975.214	1771524975.214	1771524975.214	1771524975.214
63	300.000	0.003	300.004	0.512	0.593	1.991	1771524975.452	1771524975.452	1771524975.452	1771524975.452	1771524975.452	1771524975.452
64	300.000	-0.009	300.001	0.569	0.752	1.991	1771524975.707	1771524975.707	1771524975.707	1771524975.707	1771524975.707	1771524975.707
65	300.000	0.013	299.996	0.472	0.742	1.991	1771524975.955	1771524975.955	1771524975.955	1771524975.955	1771524975.955	1771524975.955
66	300.000	-0.017	300.001	0.416	0.680	1.991	1771524976.200	1771524976.200	1771524976.200	1771524976.200	1771524976.200	1771524976.200
67	300.000	0.006	299.996	0.398	0.834	1.991	1771524976.429	1771524976.429	1771524976.429	1771524976.429	1771524976.429	1771524976.429
68	300.000	-0.015	299.997	0.556	0.800	1.991	1771524976.644	1771524976.644	1771524976.644	1771524976.644	1771524976.644	1771524976.644
69	300.000	0.003	299.999	0.423	0.719	1.991	1771524976.884	1771524976.884	1771524976.884	1771524976.884	1771524976.884	1771524976.884
70	300.000	-0.050	300.000	0.455	0.829	1.991	1771524977.108	1771524977.108	1771524977.108	1771524977.108	1771524977.108	1771524977.108
71	300.000	-0.033	299.997	0.419	0.628	1.991	1771524977.331	1771524977.331	1771524977.331	1771524977.331	1771524977.331	1771524977.331
72	300.000	-0.030	299.999	0.441	0.929	1.991	1771524977.527	1771524977.527	1771524977.527	1771524977.527	1771524977.527	1771524977.527
73	300.000	0.066	300.001	0.467	0.931	1.991	1771524977.708	1771524977.708	1771524977.708	1771524977.708	1771524977.708	1771524977.708
74	300.000	0.015	300.004	0.624	0.852	1.991	1771524977.909	1771524977.909	1771524977.909	1771524977.909	1771524977.909	1771524977.909
75	300.000	-0.079	299.999	0.388	0.632	1.991	1771524978.125	1771524978.125	1771524978.125	1771524978.125	1771524978.125	1771524978.125
76	300.000	0.024	300.001	0.264	0.300	1.991	1771524978.344	1771524978.344	1771524978.344	1771524978.344	1771524978.344	1771524978.344
77	300.000	0.008	299.996	0.388	0.724	1.991	1771524978.548	1771524978.548	1771524978.548	1771524978.548	1771524978.548	1771524978.548
78	300.000	-0.009	300.004	0.489	0.957	1.991	1771524978.809	1771524978.809	1771524978.809	1771524978.809	1771524978.809	1771524978.809
79	300.000	0.023	299.997	0.524	0.778	1.991	1771524979.069	1771524979.069	1771524979.069	1771524979.069	1771524979.069	1771524979.069
80	300.000	0.018	299.998	0.442	0.894	1.991	1771524979.294	1771524979.294	1771524979.294	1771524979.294	1771524979.294	1771524979.294
81	300.000	0.025	299.996	0.402	0.756	1.991	1771524979.541	1771524979.541	1771524979.541	1771524979.541	1771524979.541	1771524979.541
82	300.000	0.066	300.000	0.462	0.674	1.991	1771524979.798	1771524979.798	1771524979.798	1771524979.798	1771524979.798	1771524979.798
83	300.000	-0.011	299.997	0.443	0.689	1.991	1771524980.037	1771524980.037	1771524980.037	1771524980.037	1771524980.037	1771524980.037
84	300.000	0.040	299.999	0.301	1.145	1.991	1771524980.255	1771524980.255	1771524980.255	1771524980.255	1771524980.255	1771524980.255
85	300.000	0.044	300.001	0.457	0.662	1.991	1771524980.483	1771524980.483	1771524980.483	1771524980.483	1771524980.483	1771524980.483
86	300.000	0.042	300.000	0.420	0.920	1.991	1771524980.696	1771524980.696	1771524980.696	1771524980.696	1771524980.696	1771524980.696
87	300.000	-0.006	299.999	0.462	0.884	1.991	1771524980.904	1771524980.904	1771524980.904	1771524980.904	1771524980.904	1771524980.904
88	300.000	-0.009	299.999	0.503	0.579	1.991	1771524981.099	1771524981.099	1771524981.099	1771524981.099	1771524981.099	1771524981.099
89	300.000	0.001	299.998	0.331	0.922	1.991	1771524981.286	1771524981.286	1771524981.286	1771524981.286	1771524981.286	1771524981.286
90	300.000	0.030	299.996	0.637	0.632	1.991	1771524981.498	1771524981.498	1771524981.498	1771524981.498	1771524981.498	1771524981.498
91	300.000	0.026	299.995	0.470	0.788	1.991	1771524981.720	1771524981.720	1771524981.720	1771524981.720	1771524981.720	1771524981.720
92	300.000	0.001	300.001	0.388	0.673	1.991	1771524981.902	1771524981.902	1771524981.902	1771524981.902	1771524981.902	1771524981.902
93	300.000	-0.008	299.998	0.348	0.763	1.991	1771524982.106	1771524982.106	1771524982.106	1771524982.106	1771524982.106	1771524982.106
94	300.000	0.002	300.001	0.428	0.823	1.991	1771524982.341	1771524982.341	1771524982.341	1771524982.341	1771524982.341	1771524982.341
95	300.000	-0.016	299.999	0.505	0.827	1.991	1771524982.524	1771524982.524	1771524982.524	1771524982.524	1771524982.524	1771524982.524
96	300.000	0.018	300.001	0.343	0.701	1.991	1771524982.732	1771524982.732	1771524982.732	1771524982.732	1771524982.732	1771524982.732
97	300.000	0.037	300.003	0.553	0.867	1.991	1771524982.921	1771524982.921	1771524982.921	1771524982.921	1771524982.921	1771524982.921
98	300.000	0.003	300.000	0.537	0.789	1.991	1771524983.147	1771524983.147	1771524983.147	1771524983.147	1771524983.147	1771524983.147
99	300.000	0.029	300.000	0.391	0.572	1.991	1771524983.419	1771524983.419	1771524983.419	1771524983.419	1771524983.419	1771524983.419
100	300.000	-0.007	299.998	0.393	0.698	1.991	1771524983.632	1771524983.632	1771524983.632	1771524983.632	1771524983.632	1771524983.632
101	300.000	0.068	299.998	0.249	0.732	1.991	1771524983.831	1771524983.831	1771524983.831	1771524983.831	1771524983.831	1771524983.831
102	300.000	-0.013	300.001	0.521	0.668	1.991	1771524984.035	1771524984.035	1771524984.035	1771524984.035	1771524984.035	1771524984.035
103	300.000	-0.002	300.002	0.467	0.833	1.991	1771524984.296	1771524984.296	1771524984.296	1771524984.296	1771524984.296	1771524984.296
104	300.000	0.039	299.999	0.551	0.857	1.991	1771524984.532	1771524984.532	1771524984.532	1771524984.532	1771524984.532	1771524984.532
105	300.000	-0.011	300.000	0.387	0.590	1.991	1771524984.714	1771524984.714	1771524984.714	1771524984.714	1771524984.714	1771524984.714
106	300.000	0.087	300.001	0.414	0.782	1.991	1771524984.901	1771524984.901	1771524984.901	1771524984.901	1771524984.901	1771524984.901
107	300.000	-0.031	299.998	0.315	0.752	1.991	1771524985.138	1771524985.138	1771524985.138	1771524985.138	1771524985.138	1771524985.138
108	300.000	0.019	300.001	0.475	0.861	1.991	1771524985.342	1771524985.342	1771524985.342	1771524985.342	1771524985.342	1771524985.342
109	300.000	0.005	300.002	0.400	0.720	1.991	1771524985.543	1771524985.543	1771524985.543	1771524985.543	1771524985.543	1771524985.543
110	300.000	-0.027	299.997	0.515	0.976	1.991	1771524985.758	1771524985.758	1771524985.758	1771524985.758	1771524985.758	1771524985.758
111	300.000	-0.015	300.003	0.552	0.807	1.991	1771524985.966	1771524985.966	1771524985.966	1771524985.966	1771524985.966	1771524985.966
112	300.000	-0.068	299.996	0.419	0.735	1.991	1771524986.242	1771524986.242	1771524986.242	1771524986.242	1771524986.242	1771524986.242
113	300.000	0.015	300.000	0.326	0.639	1.991	1771524986.467	1771524986.467	1771524986.467	1771524986.467	1771524986.467	1771524986.467
114	300.000	-0.013	300.001	0.521	0.635	1.991	1771524986.733	1771524986.733	1771524986.733	1771524986.733	1771524986.733	1771524986.733
115	300.000	0.016	300.002	0.430	0.720	1.991	1771524986.991	1771524986.991	1771524986.991	1771524986.991	1771524986.991	1771524986.991
116	300.000	0.020	299.999	0.564	0.856	1.991	1771524987.234	1771524987.234	1771524987.234	1771524987.234	1771524987.234	1771524987.234
117	300.000	-0.008	300.003	0.424	3.272	1.991	1771524987.470	1771524987.470	1771524987.470	1771524987.470	1771524987.470	1771524987.470
118	300.000	-0.063	300.001	0.393	0.306	1.991	1771524987.660	1771524987.660	1771524987.660	1771524987.660	1771524987.660	1771524987.660
119	300.000	0.001	300.003	0.757	1.546	1.991	1771524987.850	1771524987.850	1771524987.850	1771524987.850	1771524987.850	1771524987.850
120	300.000	-0.045	299.999	0.596	4.155	1.991	1771524988.033	1771524988.033	1771524988.033	1771524988.033	1771524988.034	1771524988.034
121	300.000	-0.010	300.002	0.422	0.817	1.991	1771524988.274	1771524988.274	1771524988.274	1771524988.274	1771524988.274	1771524988.274
122	300.000	0.008	300.000	0.541	3.445	1.991	1771524988.487	1771524988.487	1771524988.487	1771524988.487	1771524988.487	1771524988.487
123	300.000	-0.050	300.002	0.322	0.266	1.991	1771524988.734	1771524988.734	1771524988.734	1771524988.734	1771524988.734	1771524988.734
124	300.000	-0.021	300.000	0.391	3.031	1.991	1771524988.907	1771524988.907	1771524988.907	1771524988.907	1771524988.907	1771524988.907
125	300.000	0.010	300.002	0.336	5.451	1.991	1771524989.157	1771524989.157	1771524989.157	1771524989.157	1771524989.157	1771524989.157
126	300.000	-0.020	299.997	0.370	2.260	1.991	1771524989.352	1771524989.352	1771524989.352	1771524989.352	1771524989.352	1771524989.352
127	300.000	-0.029	299.998	0.360	5.118	1.991	1771524989.630	1771524989.630	1771524989.630	1771524989.630	1771524989.630	1771524989.630
128	300.000	-0.019	299.999	0.351	2.327	1.991	1771524989.854	1771524989.854	1771524989.854	1771524989.854	1771524989.854	1771524989.854
129	300.000	0.029	300.005	0.436	4.693	1.991	1771524990.092	1771524990.092	1771524990.092	1771524990.092	1771524990.092	1771524990.092
130	300.000	0.005	299.997	0.650	1.374	1.991	1771524990.307	1771524990.307	1771524990.307	1771524990.307	1771524990.307	1771524990.307
131	300.000	0.004	300.001	0.551	4.129	1.991	1771524990.566	1771524990.566	1771524990.566	1771524990.566	1771524990.566	1771524990.566
132	300.000	-0.102	299.999	0.557	1.170	1.991	1771524990.776	1771524990.776	1771524990.776	1771524990.776	1771524990.776	1771524990.776
133	300.000	-0.076	300.003	0.654	4.120	1.991	1771524991.031	1771524991.031	1771524991.031	1771524991.031	1771524991.031	1771524991.031
134	300.000	-0.048	300.004	0.529	0.704	1.991	1771524991.280	1771524991.280	1771524991.280	1771524991.280	1771524991.280	1771524991.280
135	300.000	0.017	300.001	0.641	3.833	1.991	1771524991.472	1771524991.472	1771524991.472	1771524991.472	1771524991.472	1771524991.472
136	300.000	-0.062	300.000	0.600	0.576	1.991	1771524991.673	1771524991.673	1771524991.673	1771524991.673	1771524991.673	1771524991.673
137	300.000	0.032	300.001	0.528	3.164	1.991	1771524991.901	1771524991.901	1771524991.901	1771524991.901	1771524991.901	1771524991.901
138	300.000	-0.022	300.001	0.413	0.006	1.991	1771524992.118	1771524992.118	1771524992.118	1771524992.118	1771524992.118	1771524992.118
139	300.000	0.038	300.002	0.327	2.147	1.991	1771524992.359	1771524992.359	1771524992.359	1771524992.359	1771524992.359	1771524992.359
140	300.000	0.030	299.998	0.318	5.400	1.991	1771524992.596	1771524992.596	1771524992.596	1771524992.596	1771524992.596	1771524992.596
141	300.000	0.008	299.998	0.344	1.994	1.991	1771524992.865	1771524992.865	1771524992.865	1771524992.865	1771524992.865	1771524992.865
142	300.000	0.015	300.002	0.370	5.413	1.991	1771524993.085	1771524993.085	1771524993.085	1771524993.085	1771524993.085	1771524993.085
143	300.000	-0.028	300.004	0.540	1.293	1.991	1771524993.289	1771524993.289	1771524993.289	1771524993.289	1771524993.289	1771524993.289
144	300.000	-0.019	299.997	0.497	3.800	1.991	1771524993.448	1771524993.448	1771524993.448	1771524993.448	1771524993.448	1771524993.448
145	300.000	-0.025	300.001	0.414	0.537	1.991	1771524993.699	1771524993.699	1771524993.699	1771524993.699	1771524993.699	1771524993.699
146	300.000	0.016	300.001	0.647	3.426	1.991	1771524993.929	1771524993.929	1771524993.929	1771524993.929	1771524993.929	1771524993.929
147	300.000	-0.045	300.003	0.368	0.134	1.991	1771524994.169	1771524994.169	1771524994.169	1771524994.169	1771524994.169	1771524994.169
148	300.000	0.033	299.999	0.584	3.522	1.991	1771524994.438	1771524994.438	1771524994.438	1771524994.438	1771524994.438	1771524994.438
149	300.000	0.026	299.999	0.370	0.597	1.991	1771524994.664	1771524994.664	1771524994.664	1771524994.664	1771524994.664	1771524994.664
150	300.000	0.053	300.002	0.509	3.293	1.991	1771524994.866	1771524994.866	1771524994.866	1771524994.866	1771524994.866	1771524994.866
151	300.000	-0.020	300.001	0.371	5.857	1.991	1771524995.108	1771524995.108	1771524995.108	1771524995.108	1771524995.108	1771524995.108
152	300.000	0.014	300.001	0.342	2.645	1.991	1771524995.363	1771524995.363	1771524995.363	1771524995.363	1771524995.363	1771524995.363
153	300.000	0.017	300.002	0.319	6.070	1.991	1771524995.595	1771524995.595	1771524995.595	1771524995.595	1771524995.595	1771524995.595
154	300.000	0.072	300.001	0.532	1.600	1.991	1771524995.786	1771524995.786	1771524995.786	1771524995.786	1771524995.786	1771524995.786
155	300.000	-0.039	299.997	0.278	4.890	1.991	1771524996.041	1771524996.041	1771524996.041	1771524996.041	1771524996.041	1771524996.041
156	300.000	-0.042	300.001	0.567	1.497	1.991	1771524996.265	1771524996.265	1771524996.265	1771524996.265	1771524996.265	1771524996.265
157	300.000	0.049	300.001	0.456	4.306	1.991	1771524996.453	1771524996.453	1771524996.453	1771524996.453	1771524996.453	1771524996.453
158	300.000	-0.005	299.998	0.429	0.869	1.991	1771524996.695	1771524996.695	1771524996.695	1771524996.695	1771524996.695	1771524996.695
159	300.000	-0.012	299.998	0.751	3.945	1.991	1771524996.922	1771524996.922	1771524996.922	1771524996.922	1771524996.922	1771524996.922
160	300.000	-0.002	300.000	0.311	0.251	1.991	1771524997.145	1771524997.145	1771524997.145	1771524997.145	1771524997.145	1771524997.145
161	300.000	0.050	299.997	0.561	3.561	1.991	1771524997.357	1771524997.357	1771524997.357	1771524997.357	1771524997.357	1771524997.357
162	300.000	-0.048	300.002	0.375	6.275	1.991	1771524997.606	1771524997.606	1771524997.606	1771524997.606	1771524997.606	1771524997.606
163	300.000	0.007	300.000	0.519	3.215	1.991	1771524997.840	1771524997.840	1771524997.840	1771524997.840	1771524997.840	1771524997.840
164	300.000	-0.020	300.001	0.420	5.744	1.991	1771524998.048	1771524998.048	1771524998.048	1771524998.048	1771524998.048	1771524998.048
165	300.000	-0.026	300.004	0.387	1.999	1.991	1771524998.282	1771524998.282	1771524998.282	1771524998.282	1771524998.282	1771524998.282
166	300.000	0.001	300.002	0.549	4.456	1.991	1771524998.482	1771524998.482	1771524998.482	1771524998.482	1771524998.482	1771524998.482
167	300.000	0.006	300.001	0.530	1.464	1.991	1771524998.728	1771524998.728	1771524998.728	1771524998.728	1771524998.728	1771524998.728
168	300.000	0.007	300.001	0.392	4.290	1.991	1771524998.982	1771524998.982	1771524998.982	1771524998.982	1771524998.982	1771524998.982
169	300.000	-0.030	299.996	0.467	1.560	1.991	1771524999.216	1771524999.216	1771524999.216	1771524999.216	1771524999.216	1771524999.216
170	300.000	0.021	300.000	0.543	4.222	1.991	1771524999.410	1771524999.410	1771524999.410	1771524999.410	1771524999.410	1771524999.410
171	300.000	-0.011	299.998	0.413	1.099	1.991	1771524999.677	1771524999.677	1771524999.677	1771524999.677	1771524999.677	1771524999.677
172	300.000	-0.059	300.001	0.509	3.911	1.991	1771524999.945	1771524999.945	1771524999.945	1771524999.945	1771524999.945	1771524999.945
173	300.000	-0.056	299.997	0.402	0.925	1.991	1771525000.157	1771525000.157	1771525000.157	1771525000.157	1771525000.157	1771525000.157
174	300.000	-0.014	299.998	0.822	3.697	1.991	1771525000.325	1771525000.325	1771525000.325	1771525000.325	1771525000.325	1771525000.325
175	300.000	-0.017	300.000	0.369	6.211	1.991	1771525000.554	1771525000.554	1771525000.554	1771525000.554	1771525000.554	1771525000.554
176	300.000	0.064	299.997	0.455	2.373	1.991	1771525000.771	1771525000.771	1771525000.771	1771525000.771	1771525000.771	1771525000.771
177	300.000	-0.024	300.001	0.314	5.305	1.991	1771525000.966	1771525000.966	1771525000.966	1771525000.966	1771525000.966	1771525000.966
178	300.000	-0.065	299.999	0.476	1.473	1.991	1771525001.203	1771525001.203	1771525001.203	1771525001.203	1771525001.203	1771525001.203
179	300.000	0.033	300.000	0.638	3.949	1.991	1771525001.456	1771525001.456	1771525001.456	1771525001.456	1771525001.456	1771525001.456
180	300.000	-0.026	299.999	0.428	1.440	1.991	1771525001.684	1771525001.684	1771525001.684	1771525001.684	1771525001.684	1771525001.684
181	300.000	0.008	300.001	0.560	4.098	1.991	1771525001.933	1771525001.933	1771525001.933	1771525001.933	1771525001.933	1771525001.933
182	300.000	0.080	300.002	0.527	1.153	1.991	1771525002.165	1771525002.165	1771525002.165	1771525002.165	1771525002.165	1771525002.165
183	300.000	-0.047	300.000	0.707	3.792	1.991	1771525002.374	1771525002.374	1771525002.374	1771525002.374	1771525002.374	1771525002.374
184	300.000	-0.060	300.001	0.409	0.661	1.991	1771525002.615	1771525002.615	1771525002.615	1771525002.615	1771525002.615	1771525002.615
185	300.000	0.086	300.003	0.739	3.642	1.991	1771525002.877	1771525002.877	1771525002.877	1771525002.877	1771525002.877	1771525002.877
186	300.000	0.064	300.001	0.430	0.644	1.991	1771525003.129	1771525003.129	1771525003.129	1771525003.129	1771525003.129	1771525003.129
187	300.000	0.026	300.001	0.735	3.649	1.991	1771525003.379	1771525003.379	1771525003.379	1771525003.379	1771525003.379	1771525003.379
188	300.000	0.003	300.000	0.495	0.802	1.991	1771525003.620	1771525003.620	1771525003.620	1771525003.620	1771525003.620	1771525003.620
189	300.000	-0.000	299.999	0.704	3.725	1.991	1771525003.880	1771525003.880	1771525003.880	1771525003.880	1771525003.880	1771525003.880
190	300.000	0.013	299.998	0.558	1.015	1.991	1771525004.100	1771525004.100	1771525004.100	1771525004.100	1771525004.100	1771525004.100
191	300.000	0.038	299.999	0.701	3.352	1.991	1771525004.304	1771525004.304	1771525004.304	1771525004.304	1771525004.304	1771525004.304
192	300.000	0.033	299.996	0.371	0.296	1.991	1771525004.563	1771525004.563	1771525004.563	1771525004.563	1771525004.563	1771525004.563
193	300.000	-0.044	300.001	0.738	3.347	1.991	1771525004.797	1771525004.797	1771525004.797	1771525004.797	1771525004.797	1771525004.797
194	300.000	-0.034	299.998	0.316	6.195	1.991	1771525004.998	1771525004.998	1771525004.998	1771525004.998	1771525004.998	1771525004.998
195	300.000	-0.014	300.000	0.477	2.385	1.991	1771525005.229	1771525005.229	1771525005.229	1771525005.229	1771525005.229	1771525005.229
196	300.000	0.029	300.003	0.287	4.929	1.991	1771525005.455	1771525005.455	1771525005.455	1771525005.455	1771525005.455	1771525005.455
197	300.000	0.008	300.002	0.490	1.671	1.991	1771525005.690	1771525005.690	1771525005.690	1771525005.690	1771525005.690	1771525005.690
198	300.000	0.027	300.001	0.415	4.351	1.991	1771525005.946	1771525005.946	1771525005.946	1771525005.946	1771525005.946	1771525005.946
199	300.000	0.040	299.998	0.437	1.526	1.991	1771525006.183	1771525006.183	1771525006.183	1771525006.183	1771525006.183	1771525006.183
200	300.000	-0.008	299.996	0.584	3.880	1.991	1771525006.376	1771525006.376	1771525006.376	1771525006.376	1771525006.376	1771525006.376
