Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)
57	200.000	0.039	199.997	3.246	4.637	1.328	1771524109.453	1771524109.453	1771524109.453	1771524109.453	1771524109.453	1771524109.453
58	200.000	0.026	199.997	3.383	4.691	1.328	1771524109.685	1771524109.685	1771524109.685	1771524109.685	1771524109.685	1771524109.685
59	200.000	0.021	200.001	3.419	4.725	1.328	1771524109.887	1771524109.887	1771524109.887	1771524109.887	1771524109.887	1771524109.887
60	200.000	0.045	200.002	3.474	4.698	1.328	1771524110.151	1771524110.151	1771524110.151	1771524110.151	1771524110.151	1771524110.151
61	200.000	0.028	200.000	3.339	4.633	1.328	1771524110.367	1771524110.367	1771524110.367	1771524110.367	1771524110.367	1771524110.367
62	200.000	-0.077	200.000	3.204	4.683	1.328	1771524110.563	1771524110.563	1771524110.563	1771524110.563	1771524110.563	1771524110.563
63	200.000	-0.002	200.001	3.438	4.638	1.328	1771524110.767	1771524110.767	1771524110.767	1771524110.767	1771524110.767	1771524110.767
64	200.000	0.005	199.999	3.381	4.666	1.328	1771524110.992	1771524110.992	1771524110.992	1771524110.992	1771524110.992	1771524110.992
65	200.000	0.014	200.003	3.290	4.611	1.328	1771524111.197	1771524111.197	1771524111.197	1771524111.197	1771524111.197	1771524111.197
66	200.000	0.017	199.997	3.386	4.636	1.328	1771524111.462	1771524111.462	1771524111.462	1771524111.462	1771524111.462	1771524111.462
67	200.000	-0.036	199.999	3.344	4.634	1.328	1771524111.723	1771524111.723	1771524111.723	1771524111.723	1771524111.723	1771524111.723
68	200.000	-0.051	199.996	3.266	4.638	1.328	1771524111.954	1771524111.954	1771524111.954	1771524111.954	1771524111.954	1771524111.954
69	200.000	-0.034	200.004	3.424	4.657	1.328	1771524112.176	1771524112.176	1771524112.176	1771524112.176	1771524112.176	1771524112.176
70	200.000	0.050	199.996	3.457	4.652	1.328	1771524112.384	1771524112.384	1771524112.384	1771524112.384	1771524112.384	1771524112.384
71	200.000	0.025	199.999	3.306	4.737	1.328	1771524112.631	1771524112.631	1771524112.631	1771524112.631	1771524112.631	1771524112.631
