Frequency Set (GHz)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)
100.000	100.002	3.068	3.797
100.000	99.996	1.297	3.504
100.000	99.999	0.559	2.000
100.000	100.000	3.501	3.796
100.000	100.002	2.609	4.071
100.000	99.998	1.496	2.419
100.000	100.004	1.134	3.280
100.000	100.000	3.382	3.809
100.000	100.003	2.560	4.116
100.000	100.000	1.877	2.101
100.000	100.000	1.506	3.233
100.000	100.001	3.683	3.779
100.000	100.000	2.192	4.127
100.000	100.001	2.045	2.043
100.000	100.001	1.780	3.120
100.000	100.003	4.044	3.685
100.000	100.001	2.669	4.130
100.000	99.998	1.892	1.733
100.000	100.000	1.386	3.416
100.000	100.002	3.013	3.643
100.000	99.999	2.294	4.135
100.000	99.995	1.214	2.554
100.000	99.998	2.261	3.539
100.000	100.004	3.956	3.669
100.000	99.993	2.620	3.567
100.000	99.997	2.717	3.853
100.000	100.001	1.715	2.385
100.000	100.001	1.699	3.524
100.000	100.001	3.115	3.703
100.000	100.001	2.229	3.608
100.000	99.998	2.112	2.559
100.000	99.999	2.936	3.309
100.000	100.003	3.742	3.612
100.000	99.997	2.716	3.556
100.000	100.002	1.785	2.768
100.000	99.998	2.811	3.746
100.000	100.000	3.278	3.791
100.000	100.001	2.829	3.565
100.000	100.001	2.414	2.710
100.000	99.999	3.533	3.509
100.000	100.001	2.975	3.638
100.000	100.002	2.466	3.743
100.000	99.999	2.527	3.274
100.000	99.995	4.311	3.648
100.000	99.998	3.077	3.713
100.000	100.002	1.590	3.609
100.000	100.000	2.494	3.350
100.000	99.998	4.470	3.583
100.000	99.998	3.212	3.681
100.000	99.999	1.710	3.183
100.000	100.001	2.649	3.237
100.000	99.998	4.508	3.467
100.000	100.000	3.052	3.495
100.000	100.002	1.392	2.804
100.000	100.002	2.418	3.302
100.000	100.002	4.497	3.593
100.000	99.998	1.141	4.188
100.000	100.001	2.444	1.855
100.000	99.999	1.399	2.650
100.000	100.008	1.152	3.567
100.000	99.995	3.287	3.806
100.000	100.001	3.269	3.463
100.000	100.003	2.106	2.934
100.000	100.001	2.097	3.404
100.000	99.999	3.537	3.829
100.000	100.003	2.943	3.396
100.000	100.000	2.473	2.714
100.000	100.003	1.517	3.127
100.000	99.999	3.698	3.973
100.000	99.997	2.414	3.372
100.000	100.002	2.135	2.379
100.000	100.002	1.597	3.601
100.000	99.998	3.017	3.789
100.000	99.999	1.616	3.295
100.000	99.999	2.161	2.316
100.000	99.999	1.611	3.599
100.000	99.999	3.342	3.907
100.000	99.995	2.098	3.574
100.000	99.994	1.816	2.444
100.000	99.998	1.366	3.829
100.000	99.997	2.486	3.974
100.000	99.999	1.725	3.507
100.000	99.999	1.711	2.379
100.000	99.999	1.983	4.018
100.000	100.001	3.125	3.672
100.000	100.005	1.853	3.140
100.000	100.001	1.591	2.287
100.000	99.997	1.953	4.086
100.000	100.000	3.073	3.884
100.000	100.000	1.771	3.304
100.000	100.003	1.388	2.767
100.000	100.001	2.435	4.114
100.000	100.002	3.035	3.920
100.000	100.002	1.816	3.289
100.000	99.999	2.088	3.037
100.000	100.004	2.342	3.834
100.000	100.002	3.716	3.846
100.000	100.002	2.188	3.195
100.000	100.000	1.761	3.057
100.000	100.001	1.920	3.784
100.000	100.001	2.963	3.826
100.000	100.000	2.111	3.003
100.000	99.998	1.691	3.462
100.000	99.998	2.687	4.000
100.000	100.001	3.368	3.877
100.000	99.998	1.909	2.925
100.000	99.998	1.176	3.861
100.000	99.999	2.679	4.176
100.000	100.004	3.213	3.716
100.000	100.001	2.541	2.816
100.000	100.002	1.957	3.736
100.000	100.000	2.935	3.926
100.000	100.004	3.471	3.521
100.000	99.996	2.511	2.537
100.000	100.000	1.263	4.096
100.000	100.003	2.766	4.196
100.000	100.002	3.604	3.691
100.000	100.000	2.381	2.712
100.000	99.997	1.705	3.884
100.000	100.006	3.056	4.164
100.000	99.999	2.413	3.477
100.000	99.998	1.952	2.824
100.000	99.999	1.533	3.984
100.000	99.999	2.729	4.071
100.000	99.996	2.353	3.114
100.000	99.999	1.952	2.834
100.000	100.002	2.370	4.031
100.000	100.002	2.815	4.084
100.000	99.999	2.869	3.199
100.000	100.002	2.453	2.866
100.000	99.996	2.553	3.966
100.000	99.999	3.229	4.110
100.000	100.001	2.596	3.345
100.000	99.998	2.589	2.809
100.000	100.003	3.017	3.675
100.000	99.999	3.003	3.938
100.000	100.002	2.252	3.465
100.000	100.000	3.024	3.095
100.000	99.998	3.550	3.834
100.000	100.003	2.902	3.794
100.000	99.998	2.352	3.089
100.000	100.000	3.312	3.408
100.000	99.997	3.457	3.897
100.000	100.001	2.494	3.887
100.000	100.000	1.845	2.834
100.000	100.001	3.030	3.325
100.000	100.001	3.599	3.871
100.000	100.001	1.823	4.014
100.000	99.997	2.080	3.239
100.000	100.001	3.529	3.503
100.000	99.998	3.696	3.964
100.000	100.004	1.923	3.775
100.000	99.996	1.825	2.537
100.000	100.001	2.494	3.502
100.000	99.997	3.457	3.979
100.000	99.999	2.249	3.904
100.000	100.002	2.068	2.688
100.000	100.000	2.509	3.679
100.000	99.996	3.815	4.070
100.000	100.001	2.684	3.720
100.000	100.005	2.378	2.745
100.000	99.998	2.555	3.674
100.000	100.000	4.083	3.993
100.000	100.000	3.243	3.808
100.000	99.994	2.934	2.796
100.000	100.000	2.507	3.753
100.000	100.002	3.804	4.082
100.000	99.998	2.689	3.636
100.000	99.997	2.855	2.672
100.000	100.000	2.638	3.852
100.000	100.001	4.056	4.096
100.000	100.004	3.187	3.669
100.000	100.003	2.750	2.890
100.000	100.001	2.963	3.943
100.000	100.002	3.875	4.073
100.000	100.001	2.943	3.638
100.000	100.006	2.947	3.125
100.000	100.002	3.277	3.995
100.000	99.999	4.277	3.996
100.000	100.001	3.030	3.654
100.000	100.002	2.938	3.040
100.000	100.002	2.746	3.291
100.000	100.001	3.899	4.069
100.000	100.001	3.782	3.972
100.000	100.001	3.006	2.995
100.000	100.000	2.439	3.272
100.000	100.003	3.418	4.128
100.000	100.000	3.186	3.850
100.000	99.999	2.203	2.849
100.000	100.000	1.986	3.475
100.000	99.999	2.772	4.140
100.000	100.002	2.783	3.936
100.000	100.002	2.863	2.741
100.000	100.001	2.094	3.611
100.000	100.000	2.264	3.984
100.000	100.002	1.650	3.193
100.000	100.002	2.555	2.685
100.000	100.002	2.240	3.579
100.000	99.995	2.451	3.930
100.000	100.003	1.219	3.318
100.000	100.000	2.642	2.717
100.000	99.996	2.350	3.630
100.000	100.001	2.350	3.715
100.000	100.000	2.111	3.966
100.000	100.001	1.218	2.548
100.000	100.003	1.707	2.609
100.000	99.998	2.943	4.005
100.000	99.999	2.402	3.841
100.000	100.003	1.483	2.523
100.000	100.003	2.064	3.052
100.000	100.002	3.318	4.066
100.000	100.001	3.435	3.861
100.000	100.001	1.989	2.558
100.000	99.998	2.230	2.766
100.000	99.998	3.568	3.905
100.000	100.003	2.482	3.421
100.000	99.998	2.789	2.399
100.000	99.996	2.372	2.907
100.000	100.002	3.361	3.871
100.000	100.002	3.119	3.613
100.000	100.000	2.453	2.280
100.000	99.999	1.689	3.135
100.000	100.002	3.607	3.853
100.000	100.003	3.327	3.432
100.000	100.000	2.784	2.314
100.000	99.998	1.749	3.270
100.000	100.003	3.766	3.996
100.000	99.997	2.511	3.559
100.000	100.004	2.691	2.543
100.000	100.001	1.848	3.387
100.000	99.998	4.139	3.914
100.000	100.001	2.732	3.467
100.000	100.002	3.024	2.542
100.000	100.001	1.984	3.618
100.000	100.001	3.952	3.877
100.000	100.002	3.697	3.379
100.000	100.000	3.831	2.572
100.000	99.998	2.129	3.431
100.000	100.000	2.921	3.729
100.000	99.995	2.642	2.838
100.000	100.000	2.702	2.796
100.000	99.999	2.626	3.767
100.000	100.001	3.543	3.734
100.000	100.000	3.167	2.905
100.000	100.001	1.886	3.253
100.000	99.999	3.023	4.053
100.000	100.001	2.911	3.476
100.000	99.998	3.202	2.904
100.000	99.998	2.197	3.381
100.000	99.999	3.061	4.031
100.000	100.003	2.514	3.655
100.000	99.998	3.304	2.963
100.000	100.001	1.916	3.397
100.000	100.002	2.877	3.907
100.000	100.005	2.191	3.562
100.000	99.999	2.407	2.782
100.000	99.999	2.865	2.802
100.000	100.003	1.678	4.034
100.000	100.002	2.261	3.905
100.000	100.005	1.561	2.911
100.000	99.999	3.427	2.484
100.000	100.000	1.960	4.209
100.000	100.001	1.858	4.100
100.000	100.005	1.776	2.620
100.000	100.001	3.244	2.523
100.000	99.997	1.468	2.992
100.000	99.998	2.283	4.273
100.000	99.998	1.209	3.132
100.000	100.000	2.937	2.501
100.000	100.000	0.965	3.274
100.000	100.001	2.760	4.485
100.000	100.002	1.588	3.880
100.000	100.000	2.942	2.522
