Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Timestamp (s)
271	400.000	0.013	400.000	0.017	5.961	1773267083.959
272	400.000	0.014	400.000	0.050	4.362	1773267084.250
273	400.000	0.001	400.001	0.058	5.852	1773267084.557
274	400.000	0.026	400.000	0.037	1.527	1773267084.819
275	400.000	0.011	400.000	0.064	3.041	1773267085.069
276	400.000	0.009	400.001	0.095	0.869	1773267085.319
277	400.000	0.000	399.998	0.161	1.707	1773267085.589
278	400.000	0.015	400.004	0.118	2.870	1773267085.919
279	400.000	0.017	400.002	0.209	2.283	1773267086.176
280	400.000	-0.028	400.003	0.113	1.963	1773267086.462
281	400.000	0.013	399.999	0.077	1.810	1773267086.759
282	400.000	-0.063	399.997	0.099	1.323	1773267087.006
283	400.000	-0.010	400.000	0.115	5.866	1773267087.274
284	400.000	0.028	400.001	0.237	4.219	1773267087.565
285	400.000	0.022	400.000	0.083	5.643	1773267087.826
286	400.000	-0.012	399.997	0.192	5.045	1773267088.081
287	400.000	0.007	400.000	0.048	6.237	1773267088.392
288	400.000	-0.014	400.003	0.104	3.996	1773267088.653
289	400.000	-0.000	400.000	0.060	1.947	1773267088.897
290	400.000	-0.004	400.000	0.096	1.540	1773267089.150
291	400.000	-0.011	400.000	0.109	2.196	1773267089.405
292	400.000	0.012	399.998	0.100	2.501	1773267089.650
293	400.000	-0.007	399.999	0.156	2.093	1773267089.924
294	400.000	-0.014	399.998	0.048	1.643	1773267090.240
295	400.000	-0.024	400.001	0.139	1.982	1773267090.519
296	400.000	-0.021	400.002	0.075	2.296	1773267090.791
297	400.000	0.010	400.001	0.047	4.930	1773267091.095
298	400.000	0.025	399.996	0.105	4.480	1773267091.341
299	400.000	-0.010	400.001	0.099	0.287	1773267091.613
300	400.000	-0.024	399.998	0.031	0.651	1773267091.889
301	400.000	-0.009	399.998	0.078	3.361	1773267092.154
302	400.000	0.001	400.000	0.104	2.159	1773267092.407
303	400.000	-0.005	400.000	0.086	1.485	1773267092.708
304	400.000	-0.008	400.002	0.131	2.927	1773267092.974
305	400.000	-0.031	400.002	0.125	2.036	1773267093.252
306	400.000	0.006	400.001	0.157	2.160	1773267093.519
307	400.000	0.017	399.997	0.060	2.356	1773267093.795
308	400.000	0.042	399.996	0.175	1.531	1773267094.063
309	400.000	0.026	400.001	0.123	0.854	1773267094.360
310	400.000	0.000	399.998	0.148	5.295	1773267094.664
311	400.000	-0.000	400.000	0.118	5.133	1773267094.919
312	400.000	0.010	399.996	0.157	4.230	1773267095.170
313	400.000	-0.001	399.997	0.083	6.122	1773267095.481
314	400.000	-0.000	399.998	0.064	5.586	1773267095.800
315	400.000	0.002	400.005	0.064	4.589	1773267096.112
316	400.000	0.009	400.000	0.080	3.347	1773267096.370
317	400.000	-0.019	399.999	0.045	1.540	1773267096.688
318	400.000	0.002	399.999	0.064	1.791	1773267096.986
319	400.000	0.008	400.000	0.204	1.691	1773267097.235
320	400.000	-0.004	400.003	0.192	1.079	1773267097.464
321	400.000	-0.037	400.000	0.081	2.234	1773267097.745
322	400.000	-0.007	400.001	0.062	0.454	1773267098.058
323	400.000	-0.007	400.001	0.064	1.504	1773267098.377
324	400.000	-0.005	399.999	0.149	6.103	1773267098.653
325	400.000	-0.031	400.002	0.218	4.206	1773267098.922
326	400.000	-0.014	399.999	0.185	4.674	1773267099.171
327	400.000	0.032	399.998	0.098	5.703	1773267099.479
328	400.000	0.006	400.000	0.045	2.549	1773267099.715
329	400.000	-0.020	399.998	0.152	2.879	1773267099.979
330	400.000	-0.006	399.998	0.071	2.378	1773267100.239
331	400.000	0.017	399.999	0.056	2.546	1773267100.511
332	400.000	0.003	400.001	0.134	1.622	1773267100.762
333	400.000	-0.022	400.001	0.058	1.508	1773267101.030
334	400.000	0.003	399.999	0.069	1.807	1773267101.278
335	400.000	-0.007	399.999	0.067	0.613	1773267101.593
336	400.000	-0.013	400.002	0.170	5.302	1773267101.864
337	400.000	-0.004	400.000	0.096	4.059	1773267102.135
338	400.000	-0.003	399.999	0.060	4.278	1773267102.407
339	400.000	0.012	399.999	0.109	5.492	1773267102.722
340	400.000	-0.033	400.001	0.130	4.711	1773267103.006
341	400.000	0.001	399.998	0.075	4.781	1773267103.268
342	400.000	0.001	400.001	0.051	0.636	1773267103.523
343	400.000	0.018	399.999	0.108	2.251	1773267103.862
344	400.000	0.008	400.000	0.120	1.186	1773267104.162
345	400.000	0.027	400.001	0.102	2.336	1773267104.469
346	400.000	0.011	399.997	0.215	2.486	1773267104.706
347	400.000	0.020	400.005	0.089	0.876	1773267104.967
348	400.000	0.004	399.997	0.026	4.747	1773267105.222
349	400.000	0.022	399.997	0.074	1.283	1773267105.466
350	400.000	0.007	399.998	0.089	4.632	1773267105.784
351	400.000	0.023	399.999	0.061	5.183	1773267106.101
352	400.000	-0.010	399.998	0.034	0.600	1773267106.403
353	400.000	-0.026	399.996	0.083	4.516	1773267106.632
354	400.000	-0.014	399.998	0.060	3.611	1773267106.892
355	400.000	-0.011	399.998	0.129	5.151	1773267107.150
356	400.000	0.013	399.997	0.125	3.961	1773267107.380
357	400.000	-0.006	400.002	0.139	2.520	1773267107.657
358	400.000	-0.006	399.999	0.179	1.805	1773267107.900
359	400.000	0.014	400.003	0.093	4.834	1773267108.170
360	400.000	0.000	399.999	0.147	1.757	1773267108.481
361	400.000	0.019	400.001	0.105	0.026	1773267108.793
362	400.000	0.029	400.002	0.159	6.209	1773267109.085
363	400.000	-0.026	399.998	0.071	4.710	1773267109.357
364	400.000	-0.017	400.004	0.024	3.849	1773267109.632
365	400.000	0.019	400.000	0.061	5.962	1773267109.894
366	400.000	0.005	400.003	0.045	5.537	1773267110.141
367	400.000	-0.033	400.001	0.111	4.734	1773267110.409
368	400.000	0.017	400.001	0.070	4.321	1773267110.736
369	400.000	0.001	400.000	0.109	0.660	1773267111.015
370	400.000	0.022	400.002	0.114	3.337	1773267111.272
371	400.000	-0.004	399.999	0.103	3.204	1773267111.583
372	400.000	0.004	400.001	0.242	2.328	1773267111.831
373	400.000	-0.006	399.999	0.076	2.506	1773267112.097
374	400.000	0.039	400.000	0.173	2.558	1773267112.374
375	400.000	0.006	400.000	0.102	1.792	1773267112.676
376	400.000	-0.005	400.002	0.083	3.220	1773267112.939
377	400.000	-0.017	400.002	0.068	0.561	1773267113.228
378	400.000	-0.005	399.999	0.049	5.446	1773267113.496
379	400.000	0.001	399.999	0.165	5.068	1773267113.766
380	400.000	0.008	399.998	0.065	0.931	1773267114.052
381	400.000	0.013	400.001	0.086	5.469	1773267114.305
382	400.000	0.011	400.004	0.076	4.328	1773267114.610
383	400.000	0.001	400.000	0.123	0.741	1773267114.909
384	400.000	0.027	400.002	0.144	1.359	1773267115.160
385	400.000	-0.001	399.998	0.128	1.792	1773267115.422
386	400.000	0.022	399.998	0.081	3.778	1773267115.671
387	400.000	-0.000	400.000	0.153	2.170	1773267115.954
388	400.000	0.011	399.998	0.110	1.384	1773267116.237
389	400.000	0.008	400.000	0.163	0.281	1773267116.499
390	400.000	0.001	400.000	0.109	4.479	1773267116.791
391	400.000	0.017	399.997	0.128	5.647	1773267117.046
392	400.000	-0.009	400.000	0.072	5.573	1773267117.305
393	400.000	-0.018	399.997	0.130	4.814	1773267117.598
394	400.000	-0.006	399.999	0.208	4.411	1773267117.871
395	400.000	0.029	400.000	0.051	5.277	1773267118.153
396	400.000	0.021	399.999	0.053	1.756	1773267118.430
397	400.000	-0.015	400.000	0.054	2.710	1773267118.743
398	400.000	0.001	399.999	0.163	2.317	1773267119.035
399	400.000	0.048	399.996	0.126	2.632	1773267119.293
400	400.000	-0.000	400.001	0.133	1.197	1773267119.537
401	400.000	-0.030	399.999	0.107	2.412	1773267119.867
402	400.000	0.016	400.000	0.038	5.035	1773267120.170
403	400.000	0.012	400.001	0.095	4.949	1773267120.491
404	400.000	-0.000	400.000	0.081	0.089	1773267120.781
405	400.000	-0.008	400.005	0.008	2.787	1773267121.040
406	400.000	0.003	400.002	0.042	3.843	1773267121.273
407	400.000	-0.025	400.001	0.128	4.360	1773267121.566
408	400.000	-0.022	400.003	0.011	5.475	1773267121.857
409	400.000	0.013	400.004	0.134	0.789	1773267122.120
410	400.000	-0.026	399.998	0.030	3.049	1773267122.428
411	400.000	0.028	400.000	0.085	2.674	1773267122.750
412	400.000	-0.016	399.998	0.167	1.869	1773267123.026
413	400.000	0.034	400.001	0.027	1.280	1773267123.304
414	400.000	-0.000	400.001	0.040	2.975	1773267123.596
415	400.000	0.014	400.001	0.114	2.852	1773267123.850
416	400.000	-0.007	399.999	0.089	1.012	1773267124.110
417	400.000	0.011	400.003	0.050	5.611	1773267124.419
418	400.000	-0.005	400.001	0.048	5.240	1773267124.731
419	400.000	-0.013	399.998	0.083	4.691	1773267124.997
420	400.000	0.017	400.001	0.038	5.256	1773267125.278
421	400.000	0.007	400.001	0.022	3.254	1773267125.539
422	400.000	-0.006	399.997	0.066	0.938	1773267125.779
423	400.000	-0.003	400.005	0.157	2.538	1773267126.047
424	400.000	0.012	400.001	0.201	2.431	1773267126.303
425	400.000	-0.017	400.001	0.101	2.486	1773267126.605
426	400.000	-0.029	400.001	0.136	1.913	1773267126.908
427	400.000	-0.006	399.999	0.145	2.036	1773267127.158
428	400.000	0.005	399.999	0.126	1.547	1773267127.419
429	400.000	-0.004	399.999	0.114	1.303	1773267127.672
430	400.000	-0.003	400.003	0.058	2.205	1773267127.943
431	400.000	-0.022	399.999	0.060	5.897	1773267128.219
432	400.000	-0.025	399.997	0.105	6.240	1773267128.480
433	400.000	-0.014	400.002	0.104	5.783	1773267128.730
434	400.000	-0.020	400.001	0.117	4.477	1773267128.978
435	400.000	-0.046	400.002	0.157	3.938	1773267129.236
436	400.000	-0.005	400.003	0.111	3.949	1773267129.548
437	400.000	-0.009	399.999	0.069	3.752	1773267129.857
438	400.000	0.009	400.001	0.098	1.889	1773267130.141
439	400.000	0.019	399.999	0.174	1.266	1773267130.404
440	400.000	0.026	400.000	0.203	2.235	1773267130.656
441	400.000	0.009	400.002	0.173	2.390	1773267130.924
442	400.000	-0.009	399.999	0.140	2.268	1773267131.244
443	400.000	-0.001	399.995	0.016	2.773	1773267131.531
444	400.000	0.021	400.001	0.062	5.537	1773267131.799
445	400.000	0.005	400.001	0.124	5.445	1773267132.102
446	400.000	0.005	399.999	0.107	0.262	1773267132.350
447	400.000	-0.022	399.997	0.054	4.524	1773267132.598
448	400.000	-0.008	399.998	0.111	5.926	1773267132.852
449	400.000	0.005	400.000	0.198	2.635	1773267133.100
450	400.000	-0.008	400.001	0.101	2.699	1773267133.406
451	400.000	-0.025	399.996	0.055	1.620	1773267133.669
452	400.000	-0.026	399.998	0.164	1.977	1773267133.911
453	400.000	0.020	400.003	0.150	2.167	1773267134.179
454	400.000	-0.003	400.000	0.146	1.503	1773267134.486
455	400.000	0.010	400.000	0.041	1.413	1773267134.806
456	400.000	0.009	400.004	0.078	2.208	1773267135.133
457	400.000	-0.045	400.000	0.041	2.581	1773267135.432
458	400.000	-0.011	399.997	0.096	5.345	1773267135.750
459	400.000	0.003	399.998	0.052	4.257	1773267136.034
460	400.000	0.009	400.000	0.086	4.560	1773267136.295
461	400.000	-0.001	399.999	0.114	4.793	1773267136.537
462	400.000	-0.005	399.999	0.170	2.319	1773267136.820
463	400.000	-0.023	400.002	0.013	3.297	1773267137.098
464	400.000	-0.014	399.997	0.050	3.761	1773267137.357
465	400.000	0.015	400.001	0.109	1.958	1773267137.677
466	400.000	0.030	400.002	0.061	1.251	1773267137.959
467	400.000	-0.010	400.000	0.073	1.654	1773267138.236
