Frequency Set (GHz)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)
400.000	399.998	0.759	2.211
400.000	399.999	0.068	0.692
400.000	399.999	0.262	3.547
400.000	399.998	0.885	2.181
400.000	400.001	0.357	1.394
400.000	399.996	0.265	4.349
400.000	400.003	0.651	2.467
400.000	400.000	0.907	2.096
400.000	400.001	0.208	1.372
400.000	400.000	0.163	3.376
400.000	400.001	0.712	2.334
400.000	399.998	0.789	2.001
400.000	400.001	0.225	4.485
400.000	400.001	0.693	2.270
400.000	399.998	0.846	2.019
400.000	400.004	0.165	5.349
400.000	400.000	0.396	2.636
400.000	399.998	0.760	2.046
400.000	400.002	0.145	0.633
400.000	400.001	0.292	3.620
400.000	400.002	0.749	2.476
400.000	399.999	0.589	2.101
400.000	400.002	0.168	4.892
400.000	400.000	0.439	2.438
400.000	399.999	0.894	2.173
400.000	400.002	0.250	1.431
400.000	399.997	0.261	4.199
400.000	399.999	0.746	2.393
400.000	399.999	0.662	2.088
400.000	400.001	0.170	5.796
400.000	399.999	0.363	2.906
400.000	399.999	0.926	2.327
400.000	400.000	0.411	1.824
400.000	400.001	0.216	4.770
400.000	400.001	0.702	2.535
400.000	399.998	0.577	1.788
400.000	399.999	0.167	5.638
400.000	399.997	0.387	2.957
400.000	400.005	0.895	2.366
400.000	399.999	0.256	1.542
400.000	399.997	0.288	4.501
400.000	399.999	0.609	2.562
400.000	399.998	0.150	1.471
400.000	400.000	0.253	4.144
400.000	399.996	0.730	2.465
400.000	399.999	0.766	1.875
400.000	400.001	0.284	0.990
400.000	400.001	0.159	3.845
400.000	400.002	0.753	2.315
400.000	400.000	0.643	1.994
400.000	399.996	0.100	5.442
400.000	400.004	0.707	2.698
400.000	400.001	0.563	1.943
400.000	399.999	0.153	5.193
400.000	399.998	0.726	2.372
400.000	400.001	0.836	2.011
400.000	399.999	0.102	1.802
400.000	400.000	0.364	3.843
400.000	400.001	0.847	2.288
400.000	399.997	0.638	1.816
400.000	400.002	0.156	0.329
400.000	400.002	0.329	3.630
400.000	400.001	0.975	2.184
400.000	400.001	0.591	1.965
400.000	400.001	0.241	4.943
400.000	400.003	0.599	2.736
400.000	400.000	0.785	2.014
400.000	400.002	0.148	0.716
400.000	400.000	0.389	2.625
400.000	400.000	0.909	2.212
400.000	399.999	0.197	0.991
400.000	400.000	0.217	3.211
400.000	400.000	0.924	2.268
400.000	400.002	0.213	4.781
400.000	400.001	0.660	2.849
400.000	399.998	0.912	2.191
400.000	399.999	0.274	1.383
400.000	399.999	0.390	4.453
400.000	399.998	0.757	2.376
400.000	400.000	0.827	2.202
400.000	400.001	0.236	1.313
400.000	399.996	0.273	4.502
400.000	400.003	0.810	2.515
400.000	399.998	0.803	1.943
400.000	400.000	0.114	1.227
400.000	400.003	0.300	3.593
400.000	399.999	0.969	2.239
400.000	400.001	0.195	1.749
400.000	400.000	0.209	4.112
400.000	400.000	0.957	2.320
400.000	400.001	0.495	1.810
400.000	400.000	0.266	4.940
400.000	399.999	0.882	2.541
400.000	400.004	0.564	1.894
400.000	400.000	0.204	5.406
400.000	400.003	0.579	2.807
400.000	399.999	1.000	1.928
400.000	400.002	0.167	1.070
400.000	400.000	0.252	4.155
400.000	399.998	0.776	2.522
400.000	400.000	0.767	1.986
400.000	399.997	0.263	1.025
400.000	399.998	0.314	3.789
400.000	400.002	0.876	2.438
400.000	400.000	0.080	0.414
400.000	400.002	0.268	3.750
400.000	400.002	0.851	2.243
400.000	400.000	0.427	1.633
400.000	400.001	0.238	5.586
400.000	399.998	0.599	2.687
400.000	400.000	0.743	2.128
400.000	399.998	0.268	1.722
400.000	400.001	0.155	4.171
400.000	400.000	0.746	2.286
400.000	400.002	0.708	1.779
400.000	400.000	0.180	0.152
400.000	400.003	0.266	4.138
400.000	400.000	0.778	2.247
400.000	400.000	0.432	1.655
400.000	400.002	0.272	4.513
400.000	399.999	0.575	2.874
400.000	399.998	0.904	2.293
400.000	400.002	0.186	1.751
400.000	400.000	0.109	4.864
400.000	400.002	0.644	2.524
400.000	400.000	0.521	2.027
400.000	400.001	0.241	4.608
400.000	399.999	0.643	2.542
400.000	399.999	0.838	2.170
400.000	399.998	0.063	1.453
400.000	400.000	0.395	3.045
400.000	399.997	0.800	2.293
400.000	400.000	0.258	1.637
400.000	399.999	0.225	3.798
400.000	400.000	0.801	2.473
400.000	400.001	0.078	4.738
400.000	400.000	0.328	3.260
400.000	399.999	0.852	2.253
400.000	399.998	0.504	1.493
400.000	399.999	0.135	4.730
400.000	399.998	0.696	2.513
400.000	399.999	0.879	2.284
400.000	399.999	0.298	0.838
400.000	399.999	0.155	4.643
400.000	400.005	0.801	2.489
400.000	399.999	0.582	1.870
400.000	400.000	0.191	0.002
400.000	400.002	0.128	2.878
400.000	399.999	0.873	2.233
400.000	399.999	0.331	1.698
400.000	399.995	0.153	5.219
400.000	400.000	0.740	2.471
400.000	400.000	0.727	1.986
400.000	399.998	0.072	0.026
400.000	400.001	0.279	3.021
400.000	400.000	0.848	2.143
400.000	400.001	0.270	1.719
400.000	399.999	0.131	4.748
400.000	400.000	0.876	2.463
400.000	400.003	0.350	1.570
400.000	399.999	0.168	4.032
400.000	400.002	0.852	2.548
400.000	399.998	0.531	1.937
400.000	399.998	0.110	3.972
400.000	400.002	0.811	2.252
400.000	399.999	0.149	1.143
400.000	399.998	0.276	3.168
400.000	399.999	0.884	2.256
400.000	400.003	0.310	1.875
400.000	399.998	0.215	4.633
400.000	399.998	0.755	2.592
400.000	400.001	0.557	1.801
400.000	399.998	0.026	1.677
400.000	400.001	0.251	3.093
400.000	400.002	0.926	2.364
400.000	400.002	0.232	1.124
400.000	399.999	0.223	3.234
400.000	399.998	1.015	2.479
400.000	400.002	0.258	1.434
400.000	400.001	0.173	4.528
400.000	400.000	0.910	2.322
400.000	400.000	0.693	2.011
400.000	400.002	0.148	0.023
400.000	400.002	0.619	2.544
400.000	399.999	0.525	1.992
400.000	400.003	0.118	0.485
400.000	400.001	0.405	3.223
400.000	400.000	0.985	2.489
400.000	399.997	0.462	2.011
400.000	399.999	0.099	4.723
400.000	400.000	0.735	2.656
400.000	399.999	0.886	2.199
400.000	399.999	0.138	1.359
400.000	400.000	0.491	2.398
400.000	399.999	0.941	2.038
400.000	400.000	0.265	0.877
400.000	400.002	0.085	5.317
400.000	399.998	0.697	2.395
400.000	400.002	0.616	1.999
400.000	399.999	0.057	1.530
400.000	399.998	0.254	3.448
400.000	400.003	0.951	2.358
400.000	399.999	0.298	1.849
400.000	400.000	0.200	4.497
400.000	399.999	0.545	2.614
400.000	399.999	0.948	2.180
400.000	399.999	0.265	1.851
400.000	400.004	0.168	4.984
400.000	399.999	0.711	2.475
400.000	400.001	0.529	1.832
400.000	400.005	0.146	4.940
400.000	400.001	0.472	2.583
400.000	400.002	0.790	2.007
400.000	400.002	0.094	5.673
400.000	400.002	0.479	2.809
400.000	400.003	0.757	2.033
400.000	399.995	0.203	6.264
400.000	399.997	0.119	2.606
400.000	399.996	0.821	2.117
400.000	400.002	0.399	0.884
400.000	399.998	0.187	4.899
400.000	400.000	0.577	2.689
400.000	400.000	0.721	2.140
400.000	399.998	0.150	0.505
400.000	400.002	0.330	3.018
400.000	399.999	0.574	1.820
400.000	400.001	0.135	4.902
400.000	399.996	0.423	2.250
400.000	400.003	0.968	2.322
400.000	400.000	0.154	1.185
400.000	399.998	0.142	3.651
400.000	399.998	0.782	2.612
400.000	400.002	0.805	2.000
400.000	400.002	0.149	0.958
400.000	400.001	0.245	3.187
400.000	399.997	0.943	2.359
400.000	400.001	0.245	1.030
400.000	399.998	0.186	3.752
400.000	399.997	0.877	2.281
400.000	400.005	0.708	1.964
400.000	400.002	0.083	1.112
400.000	400.000	0.289	4.092
400.000	399.999	0.985	2.453
400.000	400.000	0.343	1.781
400.000	400.001	0.165	4.783
400.000	400.001	0.871	2.322
400.000	400.001	0.428	1.484
400.000	399.999	0.132	4.571
400.000	400.001	0.837	2.289
400.000	399.998	0.614	1.838
400.000	399.999	0.203	4.409
400.000	399.999	0.266	2.993
400.000	400.000	0.904	2.199
400.000	400.002	0.121	1.079
400.000	400.001	0.661	2.451
400.000	400.000	0.812	1.918
400.000	400.000	0.225	0.534
400.000	400.002	0.113	3.241
400.000	399.999	0.861	2.253
400.000	400.000	0.750	2.379
400.000	400.000	0.258	0.963
400.000	400.002	0.023	5.664
400.000	400.000	0.766	2.497
400.000	399.998	0.572	2.119
400.000	399.998	0.114	4.121
400.000	400.000	0.386	2.708
400.000	399.999	0.997	2.237
400.000	399.999	0.454	1.651
400.000	399.993	0.178	4.702
400.000	399.999	0.626	2.225
400.000	399.996	0.568	1.918
400.000	400.002	0.194	0.269
400.000	400.000	0.398	2.804
400.000	400.002	0.958	2.054
400.000	400.000	0.207	1.229
400.000	400.000	0.206	3.480
400.000	400.000	0.842	2.378
400.000	399.999	0.728	1.933
400.000	400.002	0.132	5.745
400.000	399.999	0.463	2.579
400.000	399.997	0.763	1.885
400.000	400.000	0.276	0.678
400.000	400.000	0.293	3.461
400.000	400.003	0.973	2.053
400.000	399.999	0.105	5.868
400.000	400.000	0.737	2.592
400.000	399.999	0.856	2.212
400.000	399.998	0.089	0.648
400.000	399.998	0.384	3.129
400.000	400.002	0.964	2.244
400.000	399.999	0.270	1.035
400.000	400.000	0.142	4.547
400.000	400.002	0.763	2.342
400.000	399.999	0.733	1.952
400.000	400.001	0.128	0.063
400.000	399.999	0.357	2.250
400.000	399.999	0.959	2.208
400.000	400.005	0.098	0.798
400.000	400.002	0.071	4.672
400.000	400.003	0.786	2.262
400.000	400.002	0.439	1.675
400.000	400.002	0.078	4.249
