Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)
102	400.000	-0.016	399.997	1.447	3.987	2.655	1771525497.951	1771525497.951	1771525497.951	1771525497.951	1771525497.951	1771525497.951
103	400.000	0.022	400.004	1.449	3.929	2.655	1771525498.204	1771525498.204	1771525498.204	1771525498.204	1771525498.204	1771525498.204
104	400.000	0.014	400.002	1.355	3.879	2.655	1771525498.396	1771525498.396	1771525498.396	1771525498.396	1771525498.396	1771525498.396
105	400.000	0.045	399.999	1.443	3.907	2.655	1771525498.587	1771525498.587	1771525498.587	1771525498.587	1771525498.587	1771525498.587
106	400.000	0.001	399.998	1.466	3.954	2.655	1771525498.825	1771525498.825	1771525498.825	1771525498.825	1771525498.825	1771525498.825
107	400.000	-0.043	400.000	1.339	3.959	2.655	1771525499.079	1771525499.079	1771525499.079	1771525499.079	1771525499.079	1771525499.079
108	400.000	-0.025	400.000	1.436	4.011	2.655	1771525499.279	1771525499.279	1771525499.279	1771525499.279	1771525499.279	1771525499.279
109	400.000	0.057	400.000	1.411	3.944	2.655	1771525499.472	1771525499.472	1771525499.472	1771525499.472	1771525499.472	1771525499.472
110	400.000	0.002	400.000	1.422	3.981	2.655	1771525499.725	1771525499.725	1771525499.725	1771525499.725	1771525499.725	1771525499.725
111	400.000	0.061	400.002	1.335	4.003	2.655	1771525499.982	1771525499.982	1771525499.982	1771525499.982	1771525499.982	1771525499.982
112	400.000	-0.018	400.001	1.380	3.999	2.655	1771525500.207	1771525500.207	1771525500.207	1771525500.207	1771525500.207	1771525500.207
113	400.000	-0.016	399.999	1.327	3.907	2.655	1771525500.421	1771525500.421	1771525500.421	1771525500.421	1771525500.421	1771525500.421
114	400.000	-0.046	400.000	1.432	3.956	2.655	1771525500.688	1771525500.688	1771525500.688	1771525500.688	1771525500.688	1771525500.688
115	400.000	0.022	399.999	1.348	3.971	2.655	1771525500.917	1771525500.917	1771525500.917	1771525500.917	1771525500.917	1771525500.917
116	400.000	0.035	399.999	1.435	3.945	2.655	1771525501.176	1771525501.176	1771525501.176	1771525501.176	1771525501.176	1771525501.176
117	400.000	-0.086	399.998	1.497	3.896	2.655	1771525501.409	1771525501.409	1771525501.409	1771525501.409	1771525501.409	1771525501.409
118	400.000	0.010	400.004	1.361	3.968	2.655	1771525501.596	1771525501.596	1771525501.596	1771525501.596	1771525501.596	1771525501.596
119	400.000	-0.066	400.000	1.445	3.940	2.655	1771525501.844	1771525501.844	1771525501.844	1771525501.844	1771525501.844	1771525501.844
120	400.000	0.004	400.000	1.277	3.954	2.655	1771525502.026	1771525502.026	1771525502.026	1771525502.026	1771525502.026	1771525502.026
121	400.000	0.013	399.999	1.319	3.979	2.655	1771525502.302	1771525502.302	1771525502.302	1771525502.302	1771525502.302	1771525502.302
122	400.000	0.101	400.002	1.379	3.965	2.655	1771525502.535	1771525502.535	1771525502.535	1771525502.535	1771525502.535	1771525502.535
123	400.000	0.012	400.002	1.391	4.012	2.655	1771525502.758	1771525502.758	1771525502.758	1771525502.758	1771525502.758	1771525502.758
124	400.000	0.016	400.000	1.396	3.933	2.655	1771525503.019	1771525503.019	1771525503.019	1771525503.019	1771525503.019	1771525503.019
125	400.000	-0.051	399.999	1.345	3.961	2.655	1771525503.277	1771525503.277	1771525503.277	1771525503.277	1771525503.277	1771525503.277
126	400.000	0.028	399.999	1.240	3.992	2.655	1771525503.502	1771525503.502	1771525503.502	1771525503.502	1771525503.502	1771525503.502
127	400.000	-0.022	399.999	1.361	3.971	2.655	1771525503.680	1771525503.680	1771525503.680	1771525503.680	1771525503.680	1771525503.680
128	400.000	-0.016	400.002	1.479	3.934	2.655	1771525503.852	1771525503.852	1771525503.852	1771525503.852	1771525503.852	1771525503.852
129	400.000	-0.006	400.000	1.417	3.883	2.655	1771525504.013	1771525504.013	1771525504.013	1771525504.013	1771525504.013	1771525504.013
130	400.000	0.033	399.996	1.373	3.908	2.655	1771525504.247	1771525504.248	1771525504.248	1771525504.248	1771525504.248	1771525504.248
131	400.000	-0.028	400.000	1.441	3.953	2.655	1771525504.509	1771525504.509	1771525504.509	1771525504.509	1771525504.509	1771525504.509
132	400.000	-0.004	400.002	1.322	3.887	2.655	1771525504.741	1771525504.741	1771525504.741	1771525504.741	1771525504.741	1771525504.741
133	400.000	-0.000	400.003	1.433	3.966	2.655	1771525504.976	1771525504.976	1771525504.976	1771525504.976	1771525504.976	1771525504.976
134	400.000	-0.030	400.003	1.371	3.982	2.655	1771525505.195	1771525505.195	1771525505.195	1771525505.195	1771525505.195	1771525505.195
135	400.000	0.010	399.999	1.304	3.996	2.655	1771525505.450	1771525505.450	1771525505.450	1771525505.450	1771525505.450	1771525505.450
136	400.000	0.026	399.999	1.258	3.960	2.655	1771525505.650	1771525505.650	1771525505.650	1771525505.650	1771525505.650	1771525505.650
137	400.000	0.018	399.999	1.356	3.977	2.655	1771525505.861	1771525505.861	1771525505.861	1771525505.861	1771525505.861	1771525505.861
138	400.000	-0.005	400.004	1.393	3.957	2.655	1771525506.055	1771525506.055	1771525506.055	1771525506.055	1771525506.055	1771525506.055
139	400.000	-0.122	400.000	1.294	3.990	2.655	1771525506.286	1771525506.286	1771525506.286	1771525506.286	1771525506.286	1771525506.286
140	400.000	-0.001	399.994	1.365	3.975	2.655	1771525506.487	1771525506.487	1771525506.487	1771525506.487	1771525506.487	1771525506.487
141	400.000	0.045	399.996	1.408	3.956	2.655	1771525506.668	1771525506.668	1771525506.668	1771525506.668	1771525506.668	1771525506.668
142	400.000	0.014	400.001	1.366	3.983	2.655	1771525506.855	1771525506.855	1771525506.855	1771525506.855	1771525506.855	1771525506.855
143	400.000	-0.016	399.999	1.437	3.953	2.655	1771525507.050	1771525507.050	1771525507.050	1771525507.050	1771525507.050	1771525507.050
144	400.000	0.023	400.002	1.377	3.946	2.655	1771525507.310	1771525507.310	1771525507.310	1771525507.310	1771525507.310	1771525507.310
145	400.000	-0.021	400.001	1.478	3.955	2.655	1771525507.543	1771525507.543	1771525507.543	1771525507.543	1771525507.543	1771525507.543
146	400.000	-0.039	399.999	1.381	3.956	2.655	1771525507.753	1771525507.753	1771525507.753	1771525507.753	1771525507.753	1771525507.753
147	400.000	-0.079	400.000	1.406	4.031	2.655	1771525507.981	1771525507.981	1771525507.981	1771525507.981	1771525507.981	1771525507.981
148	400.000	-0.054	400.001	1.315	4.014	2.655	1771525508.200	1771525508.200	1771525508.200	1771525508.200	1771525508.200	1771525508.200
149	400.000	0.066	399.999	1.291	3.977	2.655	1771525508.454	1771525508.454	1771525508.454	1771525508.454	1771525508.454	1771525508.454
150	400.000	0.061	399.999	1.350	3.954	2.655	1771525508.671	1771525508.671	1771525508.671	1771525508.671	1771525508.671	1771525508.671
151	400.000	-0.053	399.997	1.405	4.039	2.655	1771525508.883	1771525508.883	1771525508.883	1771525508.883	1771525508.883	1771525508.883
152	400.000	0.094	399.999	1.317	3.914	2.655	1771525509.124	1771525509.124	1771525509.124	1771525509.124	1771525509.124	1771525509.124
153	400.000	-0.009	399.998	1.425	3.879	2.655	1771525509.417	1771525509.417	1771525509.417	1771525509.417	1771525509.417	1771525509.417
154	400.000	-0.023	400.000	1.433	3.898	2.655	1771525509.621	1771525509.621	1771525509.621	1771525509.621	1771525509.621	1771525509.621
155	400.000	-0.002	400.001	1.311	3.985	2.655	1771525509.869	1771525509.869	1771525509.869	1771525509.869	1771525509.869	1771525509.869
156	400.000	0.047	400.001	1.392	3.955	2.655	1771525510.117	1771525510.117	1771525510.117	1771525510.117	1771525510.117	1771525510.117
157	400.000	0.021	399.999	1.399	4.028	2.655	1771525510.376	1771525510.376	1771525510.376	1771525510.376	1771525510.376	1771525510.376
158	400.000	-0.022	400.003	1.306	3.982	2.655	1771525510.631	1771525510.631	1771525510.631	1771525510.631	1771525510.631	1771525510.631
159	400.000	0.004	399.999	1.401	3.922	2.655	1771525510.870	1771525510.870	1771525510.870	1771525510.870	1771525510.870	1771525510.870
160	400.000	-0.006	400.001	1.464	4.010	2.655	1771525511.169	1771525511.169	1771525511.169	1771525511.169	1771525511.169	1771525511.169
161	400.000	-0.064	399.998	1.382	3.954	2.655	1771525511.398	1771525511.398	1771525511.398	1771525511.398	1771525511.398	1771525511.398
162	400.000	0.030	400.000	1.424	3.966	2.655	1771525511.567	1771525511.567	1771525511.567	1771525511.567	1771525511.567	1771525511.567
163	400.000	-0.055	400.005	1.500	3.902	2.655	1771525511.767	1771525511.767	1771525511.767	1771525511.767	1771525511.767	1771525511.767
164	400.000	0.016	400.002	1.350	4.070	2.655	1771525512.020	1771525512.020	1771525512.020	1771525512.020	1771525512.020	1771525512.020
165	400.000	0.010	399.999	1.232	3.963	2.655	1771525512.204	1771525512.204	1771525512.204	1771525512.204	1771525512.204	1771525512.204
166	400.000	-0.027	399.998	1.321	3.989	2.655	1771525512.420	1771525512.420	1771525512.420	1771525512.420	1771525512.420	1771525512.420
167	400.000	-0.002	400.000	1.264	3.994	2.655	1771525512.634	1771525512.634	1771525512.634	1771525512.634	1771525512.634	1771525512.634
168	400.000	-0.017	400.002	1.456	3.968	2.655	1771525512.839	1771525512.839	1771525512.839	1771525512.839	1771525512.839	1771525512.839
169	400.000	-0.073	399.998	1.319	3.971	2.655	1771525513.100	1771525513.100	1771525513.100	1771525513.100	1771525513.100	1771525513.100
170	400.000	-0.036	400.000	1.416	3.962	2.655	1771525513.345	1771525513.345	1771525513.345	1771525513.345	1771525513.345	1771525513.345
171	400.000	-0.014	399.998	1.433	3.902	2.655	1771525513.593	1771525513.593	1771525513.593	1771525513.593	1771525513.593	1771525513.593
172	400.000	-0.014	399.999	0.302	3.690	2.655	1771525513.840	1771525513.840	1771525513.840	1771525513.840	1771525513.840	1771525513.840
173	400.000	-0.037	400.002	0.466	5.038	2.655	1771525514.089	1771525514.089	1771525514.089	1771525514.089	1771525514.089	1771525514.089
174	400.000	-0.029	399.999	1.462	0.570	2.655	1771525514.340	1771525514.340	1771525514.340	1771525514.340	1771525514.340	1771525514.340
175	400.000	-0.003	399.999	0.544	3.886	2.655	1771525514.591	1771525514.591	1771525514.591	1771525514.591	1771525514.591	1771525514.591
176	400.000	-0.027	400.000	0.719	4.501	2.655	1771525514.832	1771525514.832	1771525514.832	1771525514.832	1771525514.832	1771525514.832
177	400.000	0.019	400.000	1.115	0.757	2.655	1771525515.028	1771525515.028	1771525515.028	1771525515.028	1771525515.028	1771525515.028
178	400.000	0.018	399.998	1.156	4.015	2.655	1771525515.254	1771525515.254	1771525515.254	1771525515.254	1771525515.254	1771525515.254
179	400.000	-0.006	399.999	1.888	0.572	2.655	1771525515.433	1771525515.433	1771525515.433	1771525515.433	1771525515.433	1771525515.433
180	400.000	-0.042	400.003	1.098	4.080	2.655	1771525515.657	1771525515.657	1771525515.657	1771525515.657	1771525515.657	1771525515.657
181	400.000	-0.036	399.998	0.685	5.926	2.655	1771525515.888	1771525515.888	1771525515.888	1771525515.888	1771525515.888	1771525515.888
182	400.000	0.005	400.003	0.513	0.977	2.655	1771525516.095	1771525516.095	1771525516.095	1771525516.095	1771525516.095	1771525516.095
183	400.000	-0.020	399.999	0.925	4.229	2.655	1771525516.352	1771525516.352	1771525516.352	1771525516.352	1771525516.352	1771525516.352
184	400.000	-0.007	400.001	1.614	0.402	2.655	1771525516.613	1771525516.613	1771525516.613	1771525516.613	1771525516.613	1771525516.613
185	400.000	0.073	400.001	0.368	3.706	2.655	1771525516.809	1771525516.809	1771525516.809	1771525516.809	1771525516.809	1771525516.809
186	400.000	-0.019	399.999	0.464	5.449	2.655	1771525517.014	1771525517.014	1771525517.014	1771525517.014	1771525517.014	1771525517.014
187	400.000	0.047	399.998	1.399	0.533	2.655	1771525517.288	1771525517.288	1771525517.288	1771525517.288	1771525517.288	1771525517.288
188	400.000	0.031	399.999	0.937	3.975	2.655	1771525517.524	1771525517.524	1771525517.524	1771525517.524	1771525517.524	1771525517.524
189	400.000	0.051	400.001	0.465	5.208	2.655	1771525517.783	1771525517.783	1771525517.783	1771525517.783	1771525517.783	1771525517.783
190	400.000	-0.047	399.999	1.546	0.586	2.655	1771525518.008	1771525518.008	1771525518.008	1771525518.008	1771525518.008	1771525518.008
191	400.000	0.045	400.000	1.048	4.077	2.655	1771525518.213	1771525518.213	1771525518.213	1771525518.213	1771525518.213	1771525518.213
192	400.000	0.001	399.999	2.068	0.419	2.655	1771525518.403	1771525518.403	1771525518.403	1771525518.403	1771525518.403	1771525518.403
193	400.000	0.024	399.996	0.630	3.981	2.655	1771525518.685	1771525518.685	1771525518.685	1771525518.685	1771525518.685	1771525518.685
194	400.000	0.023	400.003	0.711	4.392	2.655	1771525518.917	1771525518.917	1771525518.917	1771525518.917	1771525518.917	1771525518.917
195	400.000	-0.035	400.004	1.802	0.454	2.655	1771525519.157	1771525519.157	1771525519.157	1771525519.157	1771525519.157	1771525519.157
196	400.000	0.030	400.001	0.705	3.800	2.655	1771525519.402	1771525519.402	1771525519.402	1771525519.402	1771525519.402	1771525519.402
197	400.000	0.044	400.002	0.448	5.220	2.655	1771525519.639	1771525519.639	1771525519.639	1771525519.639	1771525519.639	1771525519.639
198	400.000	0.032	399.999	1.468	0.590	2.655	1771525519.905	1771525519.905	1771525519.905	1771525519.905	1771525519.905	1771525519.905
199	400.000	0.034	400.004	0.737	3.950	2.655	1771525520.137	1771525520.137	1771525520.137	1771525520.137	1771525520.137	1771525520.137
200	400.000	-0.008	399.998	1.131	6.283	2.655	1771525520.321	1771525520.321	1771525520.321	1771525520.321	1771525520.321	1771525520.321
