# # Date: 2026-03-03
# # RES_mm: 1.0
# # NSTEPS: 204
# Step,Encoder_Pos_mm,Unix_Time_s,Elapsed_Time_s
1.320000000000000000e+02,2.303635200000000000e+07,1.772557433340860128e+09,3.035433511734008789e+02
1.330000000000000000e+02,2.304045500000000000e+07,1.772557435613756418e+09,3.058162474632263184e+02
1.340000000000000000e+02,2.304454400000000000e+07,1.772557437903573275e+09,3.081060643196105957e+02
1.350000000000000000e+02,2.304862600000000000e+07,1.772557440188446760e+09,3.103909378051757812e+02
1.360000000000000000e+02,2.305271200000000000e+07,1.772557442476043701e+09,3.126785347461700439e+02
1.370000000000000000e+02,2.305680800000000000e+07,1.772557444768200159e+09,3.149706912040710449e+02
1.380000000000000000e+02,2.306089600000000000e+07,1.772557447052041292e+09,3.172545323371887207e+02
1.390000000000000000e+02,2.306499600000000000e+07,1.772557449340048313e+09,3.195425393581390381e+02
1.400000000000000000e+02,2.306908400000000000e+07,1.772557451618008375e+09,3.218204994201660156e+02
1.410000000000000000e+02,2.307319200000000000e+07,1.772557453886335850e+09,3.240888268947601318e+02
1.420000000000000000e+02,2.307729100000000000e+07,1.772557456161787748e+09,3.263642787933349609e+02
1.430000000000000000e+02,2.308138200000000000e+07,1.772557458452379227e+09,3.286548702716827393e+02
1.440000000000000000e+02,2.308546400000000000e+07,1.772557460739175320e+09,3.309416663646697998e+02
1.450000000000000000e+02,2.308956800000000000e+07,1.772557463016511440e+09,3.332190024852752686e+02
1.460000000000000000e+02,2.309366300000000000e+07,1.772557465303472281e+09,3.355059633255004883e+02
1.470000000000000000e+02,2.309776100000000000e+07,1.772557467580963135e+09,3.377834541797637939e+02
1.480000000000000000e+02,2.310185700000000000e+07,1.772557469872048140e+09,3.400745391845703125e+02
1.490000000000000000e+02,2.310595600000000000e+07,1.772557472152562380e+09,3.423550534248352051e+02
1.500000000000000000e+02,2.311004100000000000e+07,1.772557474448139191e+09,3.446506302356719971e+02
1.510000000000000000e+02,2.311414200000000000e+07,1.772557476722803116e+09,3.469252941608428955e+02
1.520000000000000000e+02,2.311824100000000000e+07,1.772557478996903419e+09,3.491993944644927979e+02
1.530000000000000000e+02,2.312231800000000000e+07,1.772557481287589550e+09,3.514900805950164795e+02
1.540000000000000000e+02,2.312639000000000000e+07,1.772557483574640274e+09,3.537771313190460205e+02
1.550000000000000000e+02,2.313049200000000000e+07,1.772557485852673292e+09,3.560551643371582031e+02
1.560000000000000000e+02,2.313459000000000000e+07,1.772557488135192394e+09,3.583376834392547607e+02
1.570000000000000000e+02,2.313869500000000000e+07,1.772557490413245916e+09,3.606157369613647461e+02
1.580000000000000000e+02,2.314279200000000000e+07,1.772557492702472448e+09,3.629049634933471680e+02
1.590000000000000000e+02,2.314690100000000000e+07,1.772557494998924255e+09,3.652014153003692627e+02
1.600000000000000000e+02,2.315100100000000000e+07,1.772557497279779434e+09,3.674822704792022705e+02
1.610000000000000000e+02,2.315509400000000000e+07,1.772557499557955027e+09,3.697604460716247559e+02
1.620000000000000000e+02,2.315916100000000000e+07,1.772557501830976486e+09,3.720334675312042236e+02
1.630000000000000000e+02,2.316327700000000000e+07,1.772557504118647337e+09,3.743211383819580078e+02
1.640000000000000000e+02,2.316737300000000000e+07,1.772557506408296347e+09,3.766107873916625977e+02
1.650000000000000000e+02,2.317146800000000000e+07,1.772557508695564508e+09,3.788980555534362793e+02
1.660000000000000000e+02,2.317556200000000000e+07,1.772557510979512691e+09,3.811820037364959717e+02
1.670000000000000000e+02,2.317966000000000000e+07,1.772557513280987024e+09,3.834834780693054199e+02
1.680000000000000000e+02,2.318374400000000000e+07,1.772557515571459055e+09,3.857739500999450684e+02
1.690000000000000000e+02,2.318785600000000000e+07,1.772557517865751743e+09,3.880682427883148193e+02
1.700000000000000000e+02,2.319195000000000000e+07,1.772557520146053314e+09,3.903485443592071533e+02
1.710000000000000000e+02,2.319604600000000000e+07,1.772557522429722548e+09,3.926322135925292969e+02
1.720000000000000000e+02,2.320013500000000000e+07,1.772557524712427378e+09,3.949149184226989746e+02
1.730000000000000000e+02,2.320424500000000000e+07,1.772557526997012138e+09,3.971995031833648682e+02
1.740000000000000000e+02,2.320834300000000000e+07,1.772557529276253700e+09,3.994787447452545166e+02
1.750000000000000000e+02,2.321243400000000000e+07,1.772557531558921099e+09,4.017614121437072754e+02
1.760000000000000000e+02,2.321651800000000000e+07,1.772557533844603300e+09,4.040470943450927734e+02
1.770000000000000000e+02,2.322061800000000000e+07,1.772557536134608269e+09,4.063370993137359619e+02
