Frequency Set (GHz)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)
200.000	199.999	1.737	5.403
200.000	200.002	2.854	4.532
200.000	199.997	1.893	3.874
200.000	200.002	2.525	2.219
200.000	200.001	3.419	1.356
200.000	200.001	2.056	0.483
200.000	200.001	2.337	4.867
200.000	200.002	2.753	4.435
200.000	200.000	1.643	3.053
200.000	200.001	3.001	1.863
200.000	199.998	3.122	1.170
200.000	200.002	1.662	6.149
200.000	199.997	2.798	4.640
200.000	199.998	2.044	4.028
200.000	200.000	2.031	2.452
200.000	199.997	3.255	1.686
200.000	199.999	2.770	0.949
200.000	200.001	1.618	5.577
200.000	200.002	2.838	4.547
200.000	200.004	1.903	3.872
200.000	200.002	2.333	2.346
200.000	199.999	3.388	1.553
200.000	200.000	2.132	0.578
200.000	200.002	2.024	5.015
200.000	200.002	2.506	4.324
200.000	199.998	1.771	2.872
200.000	200.000	3.006	1.899
200.000	199.999	2.839	1.007
200.000	199.999	1.552	5.772
200.000	199.998	2.790	4.586
200.000	200.001	2.022	4.020
200.000	199.998	2.275	2.392
200.000	199.999	3.276	1.572
200.000	199.997	2.275	0.606
200.000	200.002	2.145	5.019
200.000	200.001	2.594	4.334
200.000	200.001	1.637	3.104
200.000	200.000	3.012	1.994
200.000	200.000	3.318	1.258
200.000	200.001	1.821	0.056
200.000	200.006	2.563	4.861
200.000	199.999	2.287	4.225
200.000	200.002	1.683	2.972
200.000	199.999	2.856	1.948
200.000	200.000	3.128	1.175
200.000	199.996	1.652	6.260
200.000	199.998	2.626	4.717
200.000	200.000	2.344	4.227
200.000	200.001	1.903	2.692
200.000	199.999	3.211	1.751
200.000	200.001	2.693	0.926
200.000	200.001	1.681	5.763
200.000	200.000	2.847	4.609
200.000	200.001	1.931	3.957
200.000	199.999	2.361	2.299
200.000	199.997	3.283	1.550
200.000	199.999	2.275	0.608
200.000	200.003	1.993	5.118
200.000	200.000	2.617	4.347
200.000	200.001	1.760	2.854
200.000	199.999	3.091	1.777
200.000	200.003	2.582	0.856
200.000	199.998	2.030	5.056
200.000	199.997	2.697	4.399
200.000	200.001	1.674	3.348
200.000	199.998	2.617	2.190
200.000	200.001	3.143	1.380
200.000	200.002	1.954	0.328
200.000	199.999	2.191	5.038
200.000	199.997	2.693	4.424
200.000	200.004	1.479	3.230
200.000	200.003	2.788	2.123
200.000	200.000	3.244	1.318
200.000	200.000	1.796	0.132
200.000	200.000	2.436	4.887
200.000	200.000	2.426	4.239
200.000	200.000	2.188	2.518
200.000	200.003	3.241	1.573
200.000	199.996	2.474	0.727
200.000	199.996	2.127	5.049
200.000	200.001	2.661	4.388
200.000	200.000	1.687	3.349
200.000	199.999	2.801	2.100
200.000	200.000	3.188	1.262
200.000	200.002	1.769	6.210
200.000	199.998	2.609	4.799
