Frequency Set (GHz)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)
400.000	400.001	0.106	1.374
400.000	399.998	0.494	2.565
400.000	399.997	0.799	2.313
400.000	400.002	0.797	2.338
400.000	400.000	0.825	2.259
400.000	399.999	0.926	2.335
400.000	400.000	0.835	2.398
400.000	400.000	0.810	2.362
400.000	400.001	0.772	2.339
400.000	400.001	0.545	2.361
400.000	400.002	0.544	2.833
400.000	400.000	0.555	2.846
400.000	400.000	0.507	2.759
400.000	400.000	0.578	2.917
400.000	400.000	0.521	2.901
400.000	399.996	0.549	2.924
400.000	400.002	0.518	2.881
400.000	399.999	0.244	2.480
400.000	400.002	0.078	5.066
400.000	400.002	0.151	4.865
400.000	399.998	0.124	5.100
400.000	400.003	0.113	5.098
400.000	400.004	0.116	5.457
400.000	399.999	0.109	4.692
400.000	400.003	0.078	4.713
400.000	399.998	0.182	2.236
400.000	399.996	0.726	2.214
400.000	400.001	0.689	2.230
400.000	400.001	0.652	2.130
400.000	400.001	0.691	2.229
400.000	400.000	0.652	1.994
400.000	400.000	0.760	2.190
400.000	400.001	0.676	2.285
400.000	400.000	0.691	2.379
400.000	399.998	0.472	2.213
400.000	399.999	0.673	2.640
400.000	400.001	0.560	2.759
400.000	399.999	0.700	2.881
400.000	399.998	0.635	2.599
400.000	399.999	0.692	2.795
400.000	400.001	0.692	2.700
400.000	399.999	0.567	2.663
400.000	400.000	0.575	2.710
400.000	400.000	0.467	2.288
400.000	399.999	0.094	5.247
400.000	399.997	0.139	5.113
400.000	399.999	0.086	5.164
400.000	399.998	0.144	4.825
400.000	400.000	0.147	4.447
400.000	399.998	0.028	5.107
400.000	400.001	0.126	4.944
400.000	400.001	0.123	4.208
400.000	400.000	0.572	2.342
400.000	400.000	0.572	1.930
400.000	400.000	0.599	2.141
400.000	399.998	0.609	1.923
400.000	400.000	0.601	1.927
400.000	399.998	0.625	1.931
400.000	399.999	0.647	2.057
400.000	400.000	0.470	1.989
400.000	400.002	0.578	2.684
400.000	400.000	0.764	2.671
400.000	399.998	0.849	2.629
400.000	400.000	0.761	2.608
400.000	400.000	0.735	2.701
400.000	400.002	0.780	2.640
400.000	400.000	0.822	2.614
400.000	400.000	0.824	2.597
400.000	399.999	0.277	2.512
400.000	400.001	0.064	4.381
400.000	399.998	0.221	4.790
400.000	399.999	0.217	4.555
400.000	400.002	0.170	4.441
400.000	400.003	0.205	4.731
400.000	400.000	0.178	4.284
400.000	400.000	0.142	4.903
400.000	400.002	0.507	2.402
400.000	399.998	0.458	1.989
400.000	399.999	0.509	1.851
400.000	400.000	0.414	1.815
400.000	400.001	0.408	1.864
400.000	400.000	0.429	2.022
400.000	400.001	0.490	1.843
400.000	400.002	0.449	2.092
400.000	400.000	0.475	2.149
400.000	400.003	0.597	2.593
400.000	399.999	0.906	2.572
400.000	400.001	0.862	2.488
400.000	400.000	0.840	2.627
400.000	400.005	0.857	2.531
400.000	399.998	1.024	2.532
400.000	399.996	0.930	2.548
400.000	399.995	0.874	2.567
400.000	400.002	0.405	2.362
400.000	400.001	0.184	4.632
400.000	399.999	0.189	4.343
400.000	399.999	0.134	3.976
400.000	400.000	0.205	4.318
400.000	400.000	0.128	4.321
400.000	399.999	0.230	4.322
400.000	399.998	0.235	2.782
400.000	399.996	0.303	1.864
400.000	399.998	0.385	1.569
400.000	399.999	0.303	1.608
400.000	400.002	0.356	1.768
400.000	400.000	0.436	1.443
400.000	399.999	0.333	1.554
400.000	399.999	0.363	2.052
400.000	400.001	0.312	1.543
400.000	399.999	0.529	2.512
400.000	400.005	0.954	2.476
400.000	399.999	0.909	2.497
400.000	400.001	0.977	2.548
400.000	400.002	0.864	2.550
400.000	399.998	1.011	2.409
400.000	400.001	0.930	2.542
400.000	400.001	0.920	2.474
400.000	400.002	0.902	2.327
400.000	400.004	0.097	3.124
400.000	400.001	0.287	4.051
400.000	400.002	0.183	3.741
400.000	399.999	0.212	4.036
400.000	399.998	0.268	3.993
400.000	399.998	0.163	4.113
400.000	400.002	0.184	3.957
400.000	400.000	0.338	2.798
400.000	400.001	0.288	1.566
400.000	399.999	0.363	1.614
400.000	400.002	0.285	1.395
400.000	400.002	0.296	1.525
400.000	399.996	0.286	1.980
400.000	400.001	0.295	1.657
400.000	400.001	0.263	1.796
400.000	400.000	0.286	1.738
400.000	399.998	0.932	2.401
400.000	399.999	0.978	2.372
400.000	400.005	1.000	2.372
400.000	399.998	0.927	2.452
400.000	400.000	0.890	2.364
400.000	399.998	0.959	2.270
400.000	399.996	1.031	2.397
400.000	399.999	1.043	2.277
400.000	400.001	0.398	2.067
400.000	399.999	0.286	3.117
400.000	399.996	0.288	3.374
400.000	399.998	0.219	2.941
400.000	400.001	0.161	3.214
400.000	400.002	0.284	3.142
400.000	400.000	0.390	3.492
400.000	400.000	0.245	3.278
400.000	400.002	0.439	2.650
400.000	399.995	0.213	1.843
400.000	399.999	0.115	1.283
400.000	399.997	0.156	1.395
400.000	400.000	0.177	1.439
400.000	400.001	0.267	1.203
400.000	399.997	0.189	0.945
400.000	399.998	0.204	1.270
400.000	399.997	0.074	1.028
400.000	399.997	0.742	2.356
400.000	399.998	0.936	2.167
400.000	400.000	0.886	2.266
400.000	399.999	0.976	2.315
400.000	399.999	0.901	2.380
400.000	399.998	0.926	2.208
400.000	399.998	0.970	2.273
400.000	399.999	0.935	2.243
400.000	400.001	0.513	2.232
400.000	399.999	0.421	2.958
400.000	400.002	0.427	2.831
400.000	400.000	0.374	3.017
400.000	400.000	0.435	2.972
400.000	400.001	0.419	2.899
400.000	399.999	0.426	3.042
400.000	400.000	0.375	2.957
400.000	400.000	0.482	2.700
400.000	400.000	0.067	2.804
400.000	400.002	0.061	5.237
400.000	400.001	0.104	6.066
400.000	400.001	0.094	4.333
400.000	399.997	0.091	5.925
400.000	399.999	0.118	5.409
400.000	400.000	0.046	1.283
400.000	399.999	0.069	0.460
400.000	400.002	0.721	2.084
400.000	400.000	0.761	2.027
400.000	400.001	0.750	1.863
400.000	400.000	0.702	1.901
400.000	400.000	0.770	1.973
400.000	400.000	0.812	1.993
400.000	400.004	0.791	2.132
400.000	400.001	0.673	2.014
400.000	400.000	0.290	1.990
400.000	400.002	0.677	2.573
400.000	399.999	0.679	2.652
400.000	400.000	0.685	2.540
400.000	399.998	0.660	2.516
400.000	399.997	0.642	2.533
400.000	400.001	0.668	2.550
400.000	400.002	0.713	2.511
400.000	399.999	0.220	1.942
400.000	399.999	0.180	4.928
400.000	400.001	0.118	5.266
400.000	399.999	0.209	4.502
400.000	400.001	0.239	4.600
400.000	399.997	0.187	5.286
400.000	400.000	0.103	5.089
400.000	399.998	0.196	4.919
400.000	400.000	0.157	4.495
400.000	400.002	0.570	1.999
400.000	399.999	0.664	1.600
400.000	399.997	0.656	1.864
400.000	400.002	0.625	1.784
400.000	400.001	0.692	1.618
400.000	399.999	0.613	1.675
400.000	399.998	0.590	1.878
400.000	400.000	0.724	1.826
400.000	399.998	0.519	1.694
400.000	399.999	0.554	2.609
400.000	400.001	0.782	2.616
400.000	399.997	0.880	2.594
400.000	400.002	0.851	2.444
400.000	400.003	0.899	2.564
400.000	400.001	0.832	2.478
400.000	399.998	0.928	2.587
400.000	399.999	0.832	2.376
400.000	400.002	0.442	2.367
400.000	400.000	0.142	4.302
400.000	400.002	0.146	4.474
400.000	399.998	0.116	4.235
400.000	400.001	0.258	4.206
400.000	399.997	0.256	4.397
400.000	399.998	0.180	4.676
400.000	400.001	0.217	4.113
400.000	400.001	0.187	2.705
400.000	400.002	0.485	1.417
400.000	399.999	0.434	1.673
400.000	399.999	0.532	1.608
400.000	400.002	0.422	1.469
400.000	400.004	0.538	1.421
400.000	399.999	0.449	1.661
400.000	400.002	0.467	1.470
400.000	400.004	0.454	1.472
400.000	400.000	0.451	2.305
400.000	400.001	0.933	2.457
400.000	400.004	0.903	2.386
400.000	400.002	0.935	2.386
400.000	399.998	1.017	2.372
400.000	400.004	0.964	2.461
400.000	400.002	0.935	2.435
400.000	399.999	1.001	2.246
400.000	399.998	0.161	2.394
400.000	399.999	0.220	3.926
400.000	400.001	0.218	3.900
400.000	400.002	0.174	4.250
400.000	399.999	0.222	4.366
400.000	399.998	0.218	4.263
400.000	399.999	0.244	4.451
400.000	399.997	0.166	4.664
400.000	400.001	0.223	2.731
400.000	400.001	0.390	1.322
400.000	399.998	0.438	1.268
400.000	400.005	0.445	1.349
400.000	400.002	0.488	1.302
400.000	400.003	0.445	1.362
400.000	399.997	0.364	1.351
400.000	399.998	0.386	1.289
400.000	400.002	0.437	1.299
400.000	400.001	0.430	2.413
400.000	400.000	1.013	2.502
400.000	400.003	0.989	2.479
400.000	400.001	1.027	2.424
400.000	400.000	1.050	2.357
400.000	400.001	1.043	2.395
400.000	399.998	0.934	2.373
400.000	400.001	1.006	2.382
400.000	400.001	0.165	3.032
400.000	400.002	0.152	3.956
400.000	400.004	0.229	4.201
400.000	400.000	0.204	3.952
400.000	400.002	0.272	3.814
400.000	400.003	0.191	3.697
400.000	399.999	0.234	3.741
400.000	399.998	0.294	3.947
400.000	400.000	0.487	2.423
400.000	400.000	0.407	1.143
400.000	399.999	0.470	0.821
400.000	400.002	0.488	1.034
400.000	400.001	0.388	1.246
400.000	400.000	0.443	1.243
400.000	400.001	0.346	1.014
400.000	399.999	0.356	1.187
400.000	399.999	0.254	2.180
400.000	400.000	0.950	2.341
400.000	399.999	1.085	2.352
400.000	399.997	1.066	2.317
400.000	399.999	1.062	2.411
400.000	400.000	1.042	2.416
400.000	399.996	1.048	2.493
400.000	399.996	1.086	2.531
400.000	399.999	0.717	2.447
400.000	399.998	0.206	4.018
400.000	399.999	0.396	3.800
400.000	400.000	0.339	3.659
400.000	400.000	0.274	3.945
400.000	400.001	0.221	3.584
400.000	400.000	0.176	3.794
400.000	400.001	0.199	3.715
400.000	400.001	0.343	3.775
400.000	400.000	0.395	1.942
400.000	400.004	0.351	0.983
400.000	399.999	0.255	1.088
400.000	400.000	0.453	0.978
400.000	399.999	0.324	0.929
400.000	400.001	0.353	0.751
400.000	400.000	0.243	0.770
400.000	400.002	0.380	0.857
400.000	400.001	0.176	1.541
400.000	399.997	1.068	2.406
400.000	399.998	1.097	2.362
400.000	400.003	1.040	2.367
400.000	400.000	0.990	2.398
400.000	400.000	1.000	2.384
400.000	399.999	0.976	2.415
400.000	399.999	1.158	2.301
400.000	400.002	1.000	2.296
400.000	400.004	0.245	2.000
400.000	399.996	0.404	3.103
400.000	400.001	0.344	2.820
400.000	399.998	0.368	2.766
400.000	400.001	0.310	2.955
400.000	399.998	0.292	3.060
400.000	400.001	0.398	3.004
400.000	400.001	0.375	2.768
400.000	400.001	0.411	2.153
400.000	400.001	0.191	0.463
400.000	399.998	0.187	0.145
400.000	399.998	0.263	0.212
400.000	400.000	0.167	0.744
400.000	400.000	0.221	0.929
400.000	400.000	0.273	0.684
400.000	400.000	0.136	0.394
400.000	400.000	0.793	2.416
400.000	400.001	0.978	2.296
400.000	399.997	1.044	2.218
400.000	400.002	0.905	2.339
400.000	399.999	0.967	2.256
400.000	399.998	1.063	2.307
400.000	400.000	1.025	2.261
400.000	400.002	0.664	2.204
400.000	400.005	0.449	2.684
400.000	400.002	0.511	2.833
400.000	400.002	0.468	2.566
400.000	399.997	0.563	2.821
400.000	399.999	0.472	2.954
400.000	400.001	0.479	2.838
400.000	400.001	0.509	2.758
400.000	400.000	0.528	2.655
400.000	399.998	0.546	2.424
400.000	400.000	0.296	0.193
400.000	400.001	0.257	6.272
400.000	400.001	0.250	6.257
400.000	399.996	0.252	6.035
400.000	399.997	0.230	6.052
400.000	400.000	0.222	0.127
400.000	399.999	0.292	5.852
400.000	399.998	0.111	1.694
400.000	400.003	0.933	2.290
400.000	400.000	0.835	2.226
400.000	399.995	0.847	2.113
400.000	400.001	0.867	2.196
400.000	399.999	0.865	2.071
400.000	400.001	0.885	2.092
400.000	399.999	0.912	2.046
400.000	400.000	0.913	2.215
400.000	400.000	0.308	2.520
400.000	399.999	0.628	2.684
400.000	400.001	0.646	2.392
400.000	400.003	0.622	2.494
400.000	399.999	0.707	2.656
400.000	400.002	0.618	2.629
400.000	400.002	0.632	2.511
400.000	399.998	0.578	2.442
400.000	399.999	0.473	2.107
400.000	399.999	0.173	5.561
400.000	400.001	0.207	5.857
400.000	399.997	0.198	6.112
400.000	400.000	0.219	5.786
400.000	399.999	0.155	5.812
400.000	400.000	0.231	5.682
400.000	400.000	0.289	6.001
400.000	399.999	0.368	2.282
400.000	399.997	0.714	1.952
400.000	400.001	0.748	1.895
400.000	399.995	0.753	1.904
400.000	399.999	0.700	2.051
400.000	400.000	0.753	2.008
400.000	400.000	0.761	2.031
400.000	400.000	0.677	2.063
400.000	399.996	0.380	1.973
400.000	400.002	0.851	2.510
400.000	399.997	0.920	2.550
400.000	400.001	0.880	2.592
400.000	400.000	0.829	2.502
400.000	399.999	0.770	2.418
400.000	400.002	0.873	2.409
400.000	399.997	0.820	2.542
400.000	399.998	0.776	2.407
400.000	400.001	0.658	2.406
400.000	399.999	0.218	5.640
400.000	399.997	0.228	5.203
400.000	400.001	0.252	5.436
400.000	400.001	0.180	5.386
400.000	400.000	0.219	5.353
400.000	399.998	0.254	4.946
400.000	399.999	0.287	5.362
400.000	399.999	0.135	3.096
400.000	399.999	0.551	1.774
400.000	400.000	0.563	1.681
400.000	400.001	0.528	1.579
400.000	400.000	0.512	1.698
400.000	400.001	0.550	1.735
400.000	400.001	0.568	1.672
400.000	400.000	0.449	1.795
400.000	400.001	0.390	1.827
400.000	400.001	0.889	2.540
400.000	400.000	0.899	2.419
400.000	400.002	0.969	2.415
400.000	400.001	0.931	2.602
400.000	399.998	0.973	2.597
400.000	400.000	0.959	2.609
