Frequency Set (GHz)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)
400.000	400.001	0.519	0.871
400.000	400.000	0.599	0.271
400.000	399.999	0.728	6.115
400.000	400.002	0.703	5.556
400.000	399.997	0.642	4.737
400.000	400.000	0.670	4.106
400.000	400.002	0.624	3.096
400.000	400.002	0.561	2.861
400.000	400.000	0.610	2.349
400.000	399.999	0.641	2.016
400.000	400.003	0.527	1.674
400.000	400.000	0.552	0.978
400.000	400.000	0.594	0.588
400.000	399.996	0.634	0.033
400.000	399.997	0.705	5.684
400.000	399.998	0.710	4.888
400.000	399.996	0.772	4.272
400.000	400.002	0.600	3.783
400.000	399.998	0.677	3.212
400.000	399.997	0.626	2.820
400.000	400.001	0.484	2.610
400.000	400.001	0.552	2.071
400.000	399.999	0.540	1.638
400.000	400.000	0.555	1.296
400.000	399.995	0.530	0.648
400.000	400.001	0.585	0.301
400.000	399.997	0.743	6.076
400.000	400.001	0.797	5.554
400.000	399.997	0.714	4.983
400.000	399.998	0.594	4.118
400.000	400.001	0.679	3.417
400.000	400.002	0.573	2.996
400.000	399.999	0.541	2.527
400.000	399.997	0.569	2.135
400.000	400.000	0.550	1.792
400.000	399.999	0.492	1.186
400.000	400.006	0.524	0.637
400.000	400.001	0.583	0.269
400.000	399.998	0.692	5.856
400.000	399.998	0.740	5.413
400.000	399.999	0.758	4.699
400.000	399.999	0.699	3.989
400.000	399.999	0.594	3.345
400.000	400.000	0.590	2.799
400.000	399.999	0.609	2.380
400.000	399.998	0.546	2.150
400.000	400.002	0.564	1.540
400.000	400.000	0.463	1.065
400.000	400.000	0.648	0.446
400.000	400.000	0.747	6.275
400.000	400.002	0.693	5.682
400.000	400.000	0.642	5.042
400.000	400.000	0.706	4.457
400.000	399.998	0.632	3.913
400.000	400.000	0.623	3.366
400.000	399.998	0.666	2.920
400.000	400.001	0.620	2.442
400.000	399.999	0.463	2.132
400.000	400.002	0.502	1.808
400.000	400.000	0.435	1.437
400.000	400.006	0.555	0.845
400.000	399.999	0.638	0.073
400.000	399.996	0.745	5.874
400.000	399.999	0.695	5.436
400.000	400.000	0.695	4.779
400.000	400.001	0.609	4.138
400.000	400.001	0.711	3.432
400.000	399.997	0.647	2.880
400.000	400.001	0.656	2.519
400.000	400.000	0.644	2.031
400.000	400.001	0.575	1.760
400.000	400.001	0.458	1.260
400.000	399.999	0.566	0.582
400.000	400.004	0.726	0.155
400.000	400.001	0.708	5.840
400.000	399.999	0.786	5.381
400.000	400.002	0.652	4.622
400.000	400.000	0.630	3.994
400.000	399.997	0.691	3.503
400.000	400.000	0.597	3.007
400.000	399.999	0.595	2.531
400.000	400.004	0.641	2.156
400.000	400.001	0.613	1.695
400.000	399.999	0.528	1.203
400.000	400.000	0.683	0.469
400.000	400.000	0.641	0.022
400.000	399.999	0.743	5.654
400.000	400.005	0.698	5.080
400.000	400.001	0.694	4.414
400.000	400.001	0.684	3.937
400.000	399.999	0.675	3.381
400.000	400.000	0.559	2.848
400.000	399.999	0.693	2.468
400.000	400.002	0.577	2.124
400.000	400.003	0.515	1.851
400.000	400.005	0.543	1.180
400.000	400.001	0.579	0.655
400.000	399.999	0.696	0.202
400.000	399.996	0.697	5.932
400.000	400.000	0.753	5.167
400.000	400.005	0.740	4.536
400.000	400.000	0.669	3.915
400.000	399.998	0.641	3.086
400.000	399.997	0.579	2.532
400.000	400.003	0.549	2.412
400.000	399.999	0.539	1.841
400.000	399.999	0.516	1.470
400.000	400.002	0.621	0.926
400.000	399.998	0.759	0.394
400.000	399.999	0.754	6.283
400.000	400.003	0.686	5.611
400.000	399.999	0.648	4.998
400.000	400.002	0.703	4.400
400.000	399.999	0.689	3.828
400.000	400.001	0.582	3.149
400.000	400.001	0.642	2.720
400.000	399.998	0.597	2.455
400.000	400.000	0.573	2.019
400.000	400.000	0.611	1.662
400.000	400.003	0.530	1.239
400.000	400.001	0.560	0.648
400.000	399.999	0.695	0.230
400.000	399.998	0.803	5.889
400.000	400.000	0.718	5.182
400.000	399.998	0.587	4.636
400.000	399.998	0.749	3.838
400.000	400.002	0.580	3.020
400.000	399.998	0.610	2.771
400.000	400.006	0.593	2.235
400.000	399.998	0.596	1.984
400.000	399.998	0.524	1.531
400.000	400.001	0.582	1.048
400.000	400.002	0.691	0.448
400.000	400.000	0.695	0.014
400.000	399.999	0.747	5.735
400.000	399.999	0.641	5.186
400.000	400.000	0.602	4.569
400.000	400.000	0.618	3.850
400.000	400.001	0.671	3.202
400.000	399.999	0.665	2.835
400.000	400.001	0.635	2.411
400.000	400.002	0.559	1.904
400.000	400.001	0.411	1.613
400.000	400.001	0.591	0.933
400.000	400.000	0.707	0.580
400.000	399.999	0.736	6.247
400.000	400.001	0.780	5.735
400.000	399.998	0.677	5.147
400.000	400.002	0.617	4.466
400.000	399.999	0.671	3.763
400.000	399.997	0.634	3.084
400.000	400.002	0.619	2.728
400.000	399.998	0.632	2.413
400.000	400.000	0.616	1.762
400.000	399.998	0.532	1.334
400.000	400.000	0.592	0.875
400.000	399.999	0.756	0.282
400.000	400.001	0.789	6.043
400.000	400.002	0.793	5.595
400.000	400.002	0.714	4.827
400.000	399.999	0.711	4.257
400.000	400.000	0.615	3.675
400.000	399.999	0.694	3.268
400.000	399.998	0.635	2.702
400.000	400.000	0.579	2.401
400.000	400.000	0.535	2.014
400.000	400.001	0.540	1.512
400.000	400.002	0.578	0.873
400.000	399.999	0.749	0.331
400.000	399.999	0.758	6.121
400.000	400.003	0.739	5.539
400.000	400.006	0.708	4.950
400.000	399.999	0.628	4.361
400.000	399.999	0.647	3.935
400.000	400.003	0.689	3.342
400.000	399.997	0.646	2.868
400.000	399.999	0.626	2.372
400.000	400.001	0.589	2.125
400.000	400.002	0.618	1.627
400.000	400.000	0.588	0.948
400.000	400.005	0.652	0.427
400.000	400.002	0.791	6.150
400.000	399.999	0.751	5.692
400.000	399.999	0.791	5.106
400.000	399.997	0.759	4.519
400.000	400.001	0.729	3.929
400.000	400.000	0.686	3.294
400.000	400.005	0.728	2.708
400.000	400.001	0.672	2.419
400.000	400.000	0.612	2.083
400.000	399.999	0.587	1.757
400.000	400.002	0.530	1.099
400.000	400.001	0.675	0.509
400.000	400.002	0.759	0.042
400.000	400.000	0.740	5.821
400.000	399.998	0.720	5.151
400.000	400.001	0.694	4.693
400.000	399.998	0.711	3.825
400.000	399.997	0.677	3.263
400.000	400.000	0.579	2.764
400.000	400.000	0.652	2.414
400.000	400.002	0.561	1.993
400.000	399.998	0.605	1.477
400.000	400.001	0.667	1.075
400.000	400.002	0.680	0.666
400.000	400.002	0.807	0.181
400.000	400.001	0.846	5.797
400.000	399.998	0.738	5.358
400.000	399.999	0.736	4.553
400.000	400.001	0.731	3.942
400.000	400.001	0.714	3.320
400.000	400.003	0.701	2.840
400.000	399.999	0.602	2.365
400.000	399.997	0.619	2.101
400.000	400.002	0.551	1.676
400.000	399.999	0.634	1.160
400.000	400.002	0.674	0.616
400.000	400.000	0.756	0.130
400.000	399.997	0.832	5.851
400.000	400.001	0.767	5.168
400.000	399.999	0.814	4.552
400.000	400.002	0.699	3.870
400.000	399.999	0.687	3.179
400.000	400.000	0.722	2.868
400.000	400.002	0.552	2.527
400.000	400.002	0.610	2.154
400.000	400.000	0.592	1.808
400.000	400.000	0.553	1.364
400.000	400.002	0.645	0.828
400.000	400.003	0.722	0.237
400.000	399.999	0.817	5.957
400.000	399.996	0.780	5.495
400.000	400.000	0.701	4.675
400.000	399.999	0.706	4.102
400.000	399.999	0.669	3.480
400.000	400.000	0.723	2.978
400.000	400.001	0.621	2.554
400.000	399.998	0.558	2.256
400.000	400.001	0.520	1.850
400.000	400.003	0.580	1.307
400.000	400.001	0.659	0.614
400.000	399.997	0.732	0.200
400.000	399.999	0.740	5.706
400.000	400.003	0.759	5.176
400.000	399.999	0.736	4.431
400.000	399.999	0.733	3.935
400.000	400.001	0.647	3.454
400.000	399.999	0.604	2.953
400.000	400.001	0.678	2.540
400.000	399.997	0.500	1.938
400.000	400.003	0.530	1.715
400.000	399.997	0.693	0.967
400.000	400.002	0.683	0.504
400.000	399.998	0.761	0.100
400.000	399.999	0.770	5.886
400.000	400.001	0.734	5.230
400.000	399.999	0.692	4.631
400.000	399.999	0.720	4.029
400.000	399.998	0.684	3.408
400.000	400.002	0.698	2.989
400.000	399.998	0.641	2.677
400.000	399.997	0.623	2.287
400.000	400.000	0.652	1.863
400.000	399.999	0.528	1.366
400.000	400.003	0.654	0.715
400.000	399.998	0.783	0.147
400.000	400.002	0.772	5.884
400.000	399.995	0.755	5.125
400.000	400.001	0.721	4.524
400.000	399.999	0.670	4.017
400.000	400.001	0.667	3.250
400.000	400.002	0.678	2.936
400.000	400.000	0.718	2.632
400.000	399.998	0.607	2.275
400.000	400.002	0.561	1.764
400.000	400.003	0.617	0.931
400.000	399.997	0.666	0.547
400.000	400.002	0.774	0.008
400.000	399.997	0.811	5.807
400.000	400.000	0.741	5.224
400.000	400.000	0.770	4.541
400.000	399.999	0.761	3.977
400.000	400.002	0.707	3.346
